DELIVERY_DATE,TYPE_OF_RESERVES,PRODUCT,ENERGY_PRICE_[EUR/MWh],OFFERED_CAPACITY_[MW],ALLOCATED_CAPACITY_[MW],COUNTRY
2024-09-01,aFRR,NEG_001,138.68,5,5,DE
2024-09-01,aFRR,NEG_001,138.69,5,5,DE
2024-09-01,aFRR,NEG_001,138.7,5,5,DE
2024-09-01,aFRR,NEG_001,138.71,5,5,DE
2024-09-01,aFRR,NEG_001,138.71,5,5,DE
2024-09-01,aFRR,NEG_001,138.74,5,5,DE
2024-09-01,aFRR,NEG_001,138.74,5,5,DE
2024-09-01,aFRR,NEG_001,138.76,5,5,DE
2024-09-01,aFRR,NEG_001,138.77,5,5,DE
2024-09-01,aFRR,NEG_001,138.77,5,5,DE
2024-09-01,aFRR,NEG_001,138.79,5,5,DE
2024-09-01,aFRR,NEG_001,138.8,5,5,DE
2024-09-01,aFRR,NEG_001,138.8,5,5,DE
2024-09-01,aFRR,NEG_001,138.82,5,5,DE
2024-09-01,aFRR,NEG_001,138.83,5,5,DE
2024-09-01,aFRR,NEG_001,138.84,5,5,DE
2024-09-01,aFRR,NEG_001,138.85,5,5,DE
2024-09-01,aFRR,NEG_001,138.86,5,5,DE
2024-09-01,aFRR,NEG_001,138.87,5,5,DE
2024-09-01,aFRR,NEG_001,138.88,5,5,DE
2024-09-01,aFRR,NEG_001,138.89,5,5,DE
2024-09-01,aFRR,NEG_001,138.91,5,5,DE
2024-09-01,aFRR,NEG_001,138.92,5,5,DE
2024-09-01,aFRR,NEG_001,138.93,5,5,DE
2024-09-01,aFRR,NEG_001,138.94,5,5,DE
2024-09-01,aFRR,NEG_001,138.95,5,5,DE
2024-09-01,aFRR,NEG_001,138.96,5,5,DE
2024-09-01,aFRR,NEG_001,138.96,5,5,DE
2024-09-01,aFRR,NEG_001,138.98,5,5,DE
2024-09-01,aFRR,NEG_001,138.99,5,5,DE
2024-09-01,aFRR,NEG_001,138.99,5,5,DE
2024-09-01,aFRR,NEG_001,139.01,5,5,DE
2024-09-01,aFRR,NEG_001,139.02,5,5,DE
2024-09-01,aFRR,NEG_001,139.02,5,5,DE
2024-09-01,aFRR,NEG_001,139.02,5,5,DE
2024-09-01,aFRR,NEG_001,139.04,5,5,DE
2024-09-01,aFRR,NEG_001,139.05,5,5,DE
2024-09-01,aFRR,NEG_001,139.05,5,5,DE
2024-09-01,aFRR,NEG_001,139.08,5,5,DE
2024-09-01,aFRR,NEG_001,139.09,5,5,DE
2024-09-01,aFRR,NEG_001,139.1,5,5,DE
2024-09-01,aFRR,NEG_001,139.11,5,5,DE
2024-09-01,aFRR,NEG_001,139.12,5,5,DE
2024-09-01,aFRR,NEG_001,139.13,5,5,DE
2024-09-01,aFRR,NEG_001,139.14,5,5,DE
