Datum;Zeitzone;von;bis;Einheit;50Hertz (Positiv);Amprion (Positiv);TenneT TSO (Positiv);TransnetBW (Positiv);Deutschland (Positiv);50Hertz (Negativ);Amprion (Negativ);TenneT TSO (Negativ);TransnetBW (Negativ);Deutschland (Negativ)
01.12.2024;CET;00:00;00:15;MW;0,000;0,000;0,000;0,000;0,000;3,772;51,308;7,820;59,468;122,368
01.12.2024;CET;00:15;00:30;MW;0,000;0,000;0,000;0,000;0,000;2,512;56,416;11,344;26,244;96,516
01.12.2024;CET;00:30;00:45;MW;0,000;0,000;0,000;0,112;0,112;0,040;18,104;0,572;1,880;20,596
01.12.2024;CET;00:45;01:00;MW;0,000;0,000;0,000;0,000;0,000;0,352;10,944;0,440;1,376;13,112
01.12.2024;CET;01:00;01:15;MW;0,300;0,032;0,572;3,092;3,996;0,000;0,000;0,000;0,024;0,024
01.12.2024;CET;01:15;01:30;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,016;0,092;0,432;0,540
01.12.2024;CET;01:30;01:45;MW;0,056;0,000;0,040;0,328;0,424;0,024;0,680;0,024;0,684;1,412
01.12.2024;CET;01:45;02:00;MW;0,000;0,000;0,000;0,000;0,000;0,472;1,900;0,120;0,528;3,020
01.12.2024;CET;02:00;02:15;MW;0,256;0,004;0,612;5,036;5,908;0,000;0,000;0,072;0,032;0,104
01.12.2024;CET;02:15;02:30;MW;0,056;0,000;0,276;2,432;2,764;0,012;0,308;0,000;0,424;0,744
01.12.2024;CET;02:30;02:45;MW;0,000;0,000;0,000;0,000;0,000;0,012;3,852;0,004;1,356;5,224
01.12.2024;CET;02:45;03:00;MW;0,000;0,000;0,000;0,000;0,000;0,244;2,676;0,356;0,816;4,092
01.12.2024;CET;03:00;03:15;MW;0,000;0,000;0,188;2,068;2,256;0,168;6,588;0,332;0,760;7,848
01.12.2024;CET;03:15;03:30;MW;0,016;0,000;0,000;0,032;0,048;0,944;8,148;2,340;5,648;17,080
