Datum;Zeitzone;von;bis;Einheit;50Hertz (Positiv);Amprion (Positiv);TenneT TSO (Positiv);TransnetBW (Positiv);Deutschland (Positiv);50Hertz (Negativ);Amprion (Negativ);TenneT TSO (Negativ);TransnetBW (Negativ);Deutschland (Negativ)
01.08.2024;CEST;00:00;00:15;MW;3,904;0,128;0,148;0,008;4,188;0,004;17,004;0,012;0,876;17,896
01.08.2024;CEST;00:15;00:30;MW;0,000;0,000;0,000;0,000;0,000;8,772;12,324;0,000;9,596;30,692
01.08.2024;CEST;00:30;00:45;MW;7,004;0,000;0,836;0,044;7,884;0,000;13,832;0,000;2,940;16,772
01.08.2024;CEST;00:45;01:00;MW;0,332;0,000;0,000;0,004;0,336;0,000;6,008;0,000;0,192;6,200
01.08.2024;CEST;01:00;01:15;MW;0,356;0,000;0,200;0,000;0,556;2,548;32,556;0,200;18,924;54,228
01.08.2024;CEST;01:15;01:30;MW;0,072;0,000;0,000;0,000;0,072;3,076;64,272;0,576;28,500;96,424
01.08.2024;CEST;01:30;01:45;MW;0,000;0,000;0,000;0,000;0,000;1,124;65,724;0,084;39,396;106,328
01.08.2024;CEST;01:45;02:00;MW;0,000;0,000;0,000;0,000;0,000;26,976;47,316;0,396;19,840;94,528
01.08.2024;CEST;02:00;02:15;MW;0,012;0,000;0,000;0,000;0,012;0,436;33,644;0,068;19,776;53,924
01.08.2024;CEST;02:15;02:30;MW;0,000;0,000;0,000;0,000;0,000;1,344;37,584;0,068;18,236;57,232
01.08.2024;CEST;02:30;02:45;MW;0,000;0,000;0,000;0,000;0,000;0,164;41,764;0,000;13,284;55,212
01.08.2024;CEST;02:45;03:00;MW;0,000;0,000;0,000;0,000;0,000;0,396;28,024;0,024;10,136;38,580
01.08.2024;CEST;03:00;03:15;MW;1,868;0,000;0,092;0,000;1,960;0,000;10,596;0,052;1,200;11,848
01.08.2024;CEST;03:15;03:30;MW;0,000;0,000;0,000;0,000;0,000;1,916;18,228;0,168;1,752;22,064
01.08.2024;CEST;03:30;03:45;MW;0,000;0,000;0,000;0,000;0,000;1,564;72,448;0,520;15,888;90,420
01.08.2024;CEST;03:45;04:00;MW;0,000;0,000;0,000;0,000;0,000;4,012;60,296;1,912;39,708;105,928
01.08.2024;CEST;04:00;04:15;MW;0,000;0,000;0,000;0,000;0,000;27,476;67,476;0,260;19,304;114,516
01.08.2024;CEST;04:15;04:30;MW;0,028;0,000;0,000;0,000;0,028;0,332;50,352;0,000;14,680;65,364
01.08.2024;CEST;04:30;04:45;MW;0,140;0,000;0,000;0,000;0,140;0,936;4,600;0,000;0,000;5,536
01.08.2024;CEST;04:45;05:00;MW;0,000;0,000;0,000;0,000;0,000;0,144;13,268;0,000;6,684;20,096
01.08.2024;CEST;05:00;05:15;MW;8,060;1,016;0,340;0,012;9,428;0,032;22,332;0,000;3,392;25,756
01.08.2024;CEST;05:15;05:30;MW;0,052;0,004;0,000;0,000;0,056;0,232;42,092;0,000;3,944;46,268
01.08.2024;CEST;05:30;05:45;MW;0,456;0,184;0,012;0,000;0,652;12,620;41,612;0,000;3,436;57,668
01.08.2024;CEST;05:45;06:00;MW;0,036;0,008;0,012;0,004;0,060;49,176;57,192;0,112;54,084;160,564
01.08.2024;CEST;06:00;06:15;MW;1,024;0,056;0,188;0,084;1,352;65,324;72,188;0,568;92,672;230,752
01.08.2024;CEST;06:15;06:30;MW;0,000;0,000;0,036;0,000;0,036;2,732;5,928;0,000;0,424;9,084
01.08.2024;CEST;06:30;06:45;MW;0,000;0,000;0,000;0,000;0,000;5,856;15,768;0,000;4,072;25,696
01.08.2024;CEST;06:45;07:00;MW;0,000;0,000;0,000;0,000;0,000;18,104;33,468;0,000;10,992;62,564
01.08.2024;CEST;07:00;07:15;MW;0,000;0,000;0,000;0,000;0,000;0,080;26,420;0,000;72,056;98,556
01.08.2024;CEST;07:15;07:30;MW;0,000;0,000;0,000;0,000;0,000;76,416;66,604;0,000;131,240;274,260
01.08.2024;CEST;07:30;07:45;MW;0,000;0,000;0,000;0,000;0,000;11,876;9,464;0,000;18,860;40,200
01.08.2024;CEST;07:45;08:00;MW;1,500;0,008;0,192;1,748;3,448;3,144;2,836;0,000;4,400;10,380
01.08.2024;CEST;08:00;08:15;MW;15,564;0,064;1,892;26,084;43,604;8,812;13,924;0,000;25,700;48,436
01.08.2024;CEST;08:15;08:30;MW;0,492;13,060;1,304;4,684;19,540;0,252;16,508;0,000;5,980;22,740
01.08.2024;CEST;08:30;08:45;MW;0,732;0,532;1,580;47,124;49,968;1,304;31,748;0,000;75,908;108,960
01.08.2024;CEST;08:45;09:00;MW;0,308;0,004;0,200;9,528;10,040;0,000;30,100;0,000;41,360;71,460
01.08.2024;CEST;09:00;09:15;MW;0,000;0,000;0,000;0,000;0,000;0,004;10,088;0,000;1,552;11,644
01.08.2024;CEST;09:15;09:30;MW;0,000;0,000;0,000;0,000;0,000;0,008;0,160;0,000;0,000;0,168
01.08.2024;CEST;09:30;09:45;MW;0,976;0,184;0,708;13,364;15,232;0,000;0,000;0,000;0,000;0,000
01.08.2024;CEST;09:45;10:00;MW;15,636;23,908;2,620;200,808;242,972;0,000;0,000;0,000;0,000;0,000
01.08.2024;CEST;10:00;10:15;MW;2,940;0,256;1,788;65,936;70,920;7,660;0,000;0,484;21,664;29,808
01.08.2024;CEST;10:15;10:30;MW;0,000;10,492;0,000;0,008;10,500;1,612;0,000;0,056;2,196;3,864
01.08.2024;CEST;10:30;10:45;MW;0,000;0,000;0,000;0,000;0,000;2,164;0,000;0,272;0,000;2,436
01.08.2024;CEST;10:45;11:00;MW;0,000;10,520;0,216;0,000;10,736;11,452;0,000;1,084;2,216;14,752
01.08.2024;CEST;11:00;11:15;MW;5,816;7,800;0,212;2,192;16,020;0,000;0,000;0,024;0,060;0,084
01.08.2024;CEST;11:15;11:30;MW;0,436;132,624;0,760;21,100;154,920;0,000;0,000;0,000;0,000;0,000
01.08.2024;CEST;11:30;11:45;MW;2,492;206,036;1,496;159,552;369,576;0,000;0,000;0,000;0,000;0,000
01.08.2024;CEST;11:45;12:00;MW;102,160;254,832;4,728;259,380;621,100;0,000;0,000;0,000;0,000;0,000
01.08.2024;CEST;12:00;12:15;MW;75,532;197,020;45,948;362,804;681,304;0,000;0,000;0,000;0,000;0,000
01.08.2024;CEST;12:15;12:30;MW;95,292;211,944;45,484;262,124;614,844;0,000;0,000;0,000;0,000;0,000
01.08.2024;CEST;12:30;12:45;MW;75,820;107,204;14,856;137,748;335,628;0,000;0,000;0,000;0,000;0,000
01.08.2024;CEST;12:45;13:00;MW;70,108;74,604;2,416;96,304;243,432;0,000;0,000;0,000;0,000;0,000
01.08.2024;CEST;13:00;13:15;MW;91,632;130,024;19,384;172,152;413,192;0,000;0,000;0,000;0,000;0,000
01.08.2024;CEST;13:15;13:30;MW;98,252;175,640;48,240;253,544;575,676;0,000;0,000;0,000;0,000;0,000
01.08.2024;CEST;13:30;13:45;MW;68,608;74,232;1,728;93,992;238,560;0,000;0,000;0,000;0,000;0,000
01.08.2024;CEST;13:45;14:00;MW;27,044;78,312;1,012;75,736;182,104;0,000;0,000;0,000;0,000;0,000
01.08.2024;CEST;14:00;14:15;MW;22,592;73,456;1,136;74,420;171,604;0,000;0,000;0,000;0,000;0,000
01.08.2024;CEST;14:15;14:30;MW;0,000;1,596;0,000;0,000;1,596;0,188;0,000;0,000;0,000;0,188
01.08.2024;CEST;14:30;14:45;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
01.08.2024;CEST;14:45;15:00;MW;23,512;17,920;0,668;14,296;56,396;0,000;0,000;0,000;0,000;0,000
01.08.2024;CEST;15:00;15:15;MW;1,412;10,428;0,072;1,092;13,004;0,000;0,000;0,000;0,000;0,000
01.08.2024;CEST;15:15;15:30;MW;1,112;1,680;0,064;0,000;2,856;0,000;0,096;0,000;0,000;0,096
01.08.2024;CEST;15:30;15:45;MW;0,032;0,000;0,000;0,000;0,032;7,376;53,816;0,144;6,636;67,972
01.08.2024;CEST;15:45;16:00;MW;0,048;0,060;0,000;0,000;0,108;4,288;8,928;0,400;2,148;15,764
01.08.2024;CEST;16:00;16:15;MW;0,952;5,868;0,000;35,184;42,004;0,000;2,800;0,000;0,000;2,800
01.08.2024;CEST;16:15;16:30;MW;1,688;60,352;0,428;96,148;158,616;0,000;0,000;0,000;0,000;0,000
01.08.2024;CEST;16:30;16:45;MW;2,992;53,148;1,336;170,328;227,804;0,000;0,000;0,000;0,000;0,000
01.08.2024;CEST;16:45;17:00;MW;2,256;41,928;0,924;145,252;190,360;0,000;0,000;0,000;0,000;0,000
01.08.2024;CEST;17:00;17:15;MW;0,272;29,312;1,508;196,548;227,640;0,000;0,000;0,000;0,000;0,000
01.08.2024;CEST;17:15;17:30;MW;0,000;12,012;0,412;125,172;137,596;0,000;0,000;0,000;0,000;0,000
01.08.2024;CEST;17:30;17:45;MW;0,892;4,452;0,724;39,232;45,300;0,832;7,068;0,144;0,320;8,364
01.08.2024;CEST;17:45;18:00;MW;0,000;12,824;0,520;12,352;25,696;0,000;0,000;0,000;0,000;0,000
01.08.2024;CEST;18:00;18:15;MW;0,776;14,192;0,224;18,472;33,664;0,000;6,268;0,000;0,004;6,272
01.08.2024;CEST;18:15;18:30;MW;1,212;11,052;0,308;10,196;22,768;0,160;1,168;0,000;0,000;1,328
01.08.2024;CEST;18:30;18:45;MW;0,484;10,784;0,264;7,820;19,352;0,000;0,000;0,000;0,000;0,000
01.08.2024;CEST;18:45;19:00;MW;0,008;3,588;0,236;1,676;5,508;0,000;0,000;0,000;0,000;0,000
01.08.2024;CEST;19:00;19:15;MW;0,000;0,012;0,000;0,016;0,028;5,496;54,488;9,508;23,920;93,412
01.08.2024;CEST;19:15;19:30;MW;0,000;0,000;0,000;0,000;0,000;0,804;17,336;0,500;3,244;21,884
01.08.2024;CEST;19:30;19:45;MW;0,000;0,000;0,000;0,000;0,000;3,432;49,388;2,040;15,048;69,908
01.08.2024;CEST;19:45;20:00;MW;0,088;0,184;0,000;0,216;0,488;0,000;0,000;0,000;0,000;0,000
01.08.2024;CEST;20:00;20:15;MW;0,000;0,100;0,000;0,412;0,512;0,000;0,000;0,000;0,000;0,000
01.08.2024;CEST;20:15;20:30;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
01.08.2024;CEST;20:30;20:45;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,140;0,000;0,000;0,140
01.08.2024;CEST;20:45;21:00;MW;0,000;0,000;0,000;0,036;0,036;0,000;2,940;0,000;0,000;2,940
01.08.2024;CEST;21:00;21:15;MW;0,000;0,944;0,256;22,348;23,548;2,880;17,828;0,000;0,064;20,772
01.08.2024;CEST;21:15;21:30;MW;0,000;0,000;0,000;0,000;0,000;0,644;3,668;0,000;0,232;4,544
01.08.2024;CEST;21:30;21:45;MW;0,000;0,000;0,000;0,000;0,000;1,724;23,620;0,000;4,004;29,348
01.08.2024;CEST;21:45;22:00;MW;0,000;0,000;0,000;0,000;0,000;9,380;40,364;0,256;21,996;71,996
01.08.2024;CEST;22:00;22:15;MW;0,000;0,000;0,000;0,000;0,000;40,448;75,280;0,792;46,652;163,172
01.08.2024;CEST;22:15;22:30;MW;0,024;0,000;0,000;0,000;0,024;32,144;52,272;0,748;48,352;133,516
01.08.2024;CEST;22:30;22:45;MW;0,000;0,000;0,000;5,588;5,588;51,592;66,496;0,592;33,104;151,784
01.08.2024;CEST;22:45;23:00;MW;0,000;0,000;0,000;0,000;0,000;22,496;56,528;0,140;50,272;129,436
01.08.2024;CEST;23:00;23:15;MW;0,856;6,736;0,092;22,052;29,736;6,804;19,840;0,000;5,132;31,776
01.08.2024;CEST;23:15;23:30;MW;0,000;0,000;0,000;0,000;0,000;0,080;5,396;0,016;0,452;5,944
01.08.2024;CEST;23:30;23:45;MW;0,000;0,000;0,000;0,000;0,000;0,064;10,536;0,000;0,000;10,600
01.08.2024;CEST;23:45;00:00;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
02.08.2024;CEST;00:00;00:15;MW;84,744;0,000;0,000;4,136;88,880;0,000;0,000;0,000;0,000;0,000
02.08.2024;CEST;00:15;00:30;MW;48,068;10,828;0,000;21,860;80,756;0,068;0,000;0,000;0,000;0,068
02.08.2024;CEST;00:30;00:45;MW;35,840;9,660;0,376;44,232;90,108;0,004;0,000;0,000;0,000;0,004
02.08.2024;CEST;00:45;01:00;MW;51,172;15,756;0,624;31,240;98,792;0,000;0,000;0,000;0,000;0,000
02.08.2024;CEST;01:00;01:15;MW;12,112;5,452;0,064;6,248;23,876;0,000;0,000;0,000;0,000;0,000
02.08.2024;CEST;01:15;01:30;MW;0,000;0,000;0,000;0,000;0,000;10,732;5,524;0,000;9,800;26,056
02.08.2024;CEST;01:30;01:45;MW;0,000;0,000;0,000;0,000;0,000;53,876;49,076;0,936;57,744;161,632
02.08.2024;CEST;01:45;02:00;MW;0,000;0,000;0,000;0,000;0,000;22,664;68,244;1,520;93,764;186,192
02.08.2024;CEST;02:00;02:15;MW;0,000;0,000;0,000;0,000;0,000;0,000;15,424;0,016;1,984;17,424
02.08.2024;CEST;02:15;02:30;MW;0,000;0,000;0,000;0,000;0,000;11,168;11,312;0,000;3,440;25,920
02.08.2024;CEST;02:30;02:45;MW;0,668;0,000;0,000;0,304;0,972;0,012;11,524;0,000;0,424;11,960
02.08.2024;CEST;02:45;03:00;MW;0,112;0,000;0,000;0,000;0,112;0,000;0,008;0,000;0,028;0,036
02.08.2024;CEST;03:00;03:15;MW;4,452;0,012;0,180;13,856;18,500;0,000;0,116;0,000;0,000;0,116
02.08.2024;CEST;03:15;03:30;MW;0,312;0,000;0,000;0,440;0,752;0,000;0,664;0,000;0,232;0,896
02.08.2024;CEST;03:30;03:45;MW;0,000;0,000;0,000;0,000;0,000;0,020;8,508;0,000;0,344;8,872
02.08.2024;CEST;03:45;04:00;MW;0,000;0,000;0,000;0,000;0,000;0,120;9,720;0,032;2,768;12,640
02.08.2024;CEST;04:00;04:15;MW;0,000;0,000;0,000;0,000;0,000;22,580;27,876;1,600;17,188;69,244
02.08.2024;CEST;04:15;04:30;MW;0,004;0,000;0,000;0,000;0,004;4,800;21,796;0,168;2,764;29,528
02.08.2024;CEST;04:30;04:45;MW;0,000;0,000;0,052;6,440;6,492;0,000;2,040;0,000;0,084;2,124
02.08.2024;CEST;04:45;05:00;MW;0,000;15,504;1,840;70,824;88,168;0,000;0,096;0,000;0,080;0,176
02.08.2024;CEST;05:00;05:15;MW;0,420;14,116;1,372;29,808;45,716;0,000;0,000;0,000;0,000;0,000
02.08.2024;CEST;05:15;05:30;MW;0,008;0,008;0,292;0,652;0,960;1,068;19,048;0,020;8,904;29,040
02.08.2024;CEST;05:30;05:45;MW;0,000;10,736;0,208;8,188;19,132;0,000;0,000;0,000;0,000;0,000
02.08.2024;CEST;05:45;06:00;MW;0,012;1,708;0,000;1,076;2,796;1,304;2,144;0,244;9,452;13,144
02.08.2024;CEST;06:00;06:15;MW;0,000;3,604;0,088;4,820;8,512;13,788;54,752;12,464;52,728;133,732
02.08.2024;CEST;06:15;06:30;MW;0,000;0,216;0,000;2,116;2,332;7,904;34,308;5,604;43,832;91,648
02.08.2024;CEST;06:30;06:45;MW;0,424;0,536;0,000;0,240;1,200;0,184;6,000;0,000;0,948;7,132
02.08.2024;CEST;06:45;07:00;MW;13,016;0,852;0,216;12,228;26,312;0,132;8,836;0,000;0,524;9,492
02.08.2024;CEST;07:00;07:15;MW;12,956;7,244;0,504;11,432;32,136;0,000;0,000;0,000;0,000;0,000
02.08.2024;CEST;07:15;07:30;MW;26,652;15,676;0,628;31,820;74,776;0,000;0,000;0,000;0,000;0,000
02.08.2024;CEST;07:30;07:45;MW;0,372;0,856;0,564;28,572;30,364;0,000;0,000;0,000;0,000;0,000
02.08.2024;CEST;07:45;08:00;MW;0,992;0,004;0,032;10,904;11,932;7,148;1,336;0,000;0,296;8,780
02.08.2024;CEST;08:00;08:15;MW;0,004;5,796;1,216;50,840;57,856;0,736;0,232;0,000;0,404;1,372
02.08.2024;CEST;08:15;08:30;MW;0,000;0,000;0,012;0,732;0,744;0,028;3,600;0,000;0,000;3,628
02.08.2024;CEST;08:30;08:45;MW;0,000;17,468;0,020;38,768;56,256;0,000;0,000;0,000;0,000;0,000
02.08.2024;CEST;08:45;09:00;MW;0,000;0,000;0,000;0,088;0,088;0,000;0,000;0,000;0,000;0,000
02.08.2024;CEST;09:00;09:15;MW;5,100;16,124;0,472;67,212;88,908;0,000;0,000;0,000;0,000;0,000
02.08.2024;CEST;09:15;09:30;MW;0,000;17,032;0,636;29,112;46,780;0,000;0,000;0,000;0,000;0,000
02.08.2024;CEST;09:30;09:45;MW;0,000;0,000;0,004;1,540;1,544;0,000;0,000;0,000;0,000;0,000
02.08.2024;CEST;09:45;10:00;MW;0,000;7,300;0,000;19,004;26,304;0,000;0,000;0,000;0,000;0,000
02.08.2024;CEST;10:00;10:15;MW;0,000;6,708;0,320;59,452;66,480;0,000;0,000;0,000;0,000;0,000
02.08.2024;CEST;10:15;10:30;MW;0,000;0,408;0,400;29,600;30,408;0,000;0,048;0,000;0,000;0,048
02.08.2024;CEST;10:30;10:45;MW;0,000;10,288;0,648;43,580;54,516;0,660;5,284;0,708;4,532;11,184
02.08.2024;CEST;10:45;11:00;MW;0,000;0,000;0,000;0,000;0,000;25,600;99,080;28,556;51,188;204,424
02.08.2024;CEST;11:00;11:15;MW;0,000;0,000;0,000;0,020;0,020;96,648;53,056;41,400;276,576;467,680
