Datum;Zeitzone;von;bis;Einheit;50Hertz (Positiv);Amprion (Positiv);TenneT TSO (Positiv);TransnetBW (Positiv);Deutschland (Positiv);50Hertz (Negativ);Amprion (Negativ);TenneT TSO (Negativ);TransnetBW (Negativ);Deutschland (Negativ)
01.10.2024;CEST;00:00;00:15;MW;0,000;0,000;0,000;1,684;1,684;32,292;9,684;7,720;132,000;181,696
01.10.2024;CEST;00:15;00:30;MW;0,000;0,000;0,000;2,964;2,964;3,728;3,820;0,336;16,248;24,132
01.10.2024;CEST;00:30;00:45;MW;0,000;0,000;0,012;2,960;2,972;9,844;5,340;0,560;14,128;29,872
01.10.2024;CEST;00:45;01:00;MW;0,000;0,000;0,000;3,652;3,652;0,304;0,604;0,000;1,848;2,756
01.10.2024;CEST;01:00;01:15;MW;3,692;0,036;0,000;4,188;7,916;0,000;0,000;0,000;1,668;1,668
01.10.2024;CEST;01:15;01:30;MW;0,012;0,000;0,028;2,344;2,384;2,784;3,180;0,756;7,320;14,040
01.10.2024;CEST;01:30;01:45;MW;0,000;0,000;0,000;1,852;1,852;2,044;4,140;1,132;2,288;9,604
01.10.2024;CEST;01:45;02:00;MW;0,000;0,000;0,000;1,700;1,700;5,120;4,316;1,348;5,312;16,096
01.10.2024;CEST;02:00;02:15;MW;0,164;0,000;0,468;3,864;4,496;4,652;2,840;2,024;1,900;11,416
01.10.2024;CEST;02:15;02:30;MW;0,000;0,000;0,012;2,256;2,268;1,776;3,348;0,656;1,304;7,084
01.10.2024;CEST;02:30;02:45;MW;0,588;0,000;1,384;1,560;3,532;0,000;0,028;0,000;2,492;2,520
01.10.2024;CEST;02:45;03:00;MW;1,336;0,576;0,984;4,072;6,968;0,340;0,348;0,000;0,940;1,628
01.10.2024;CEST;03:00;03:15;MW;42,764;32,188;4,752;64,488;144,192;0,000;0,116;0,000;0,420;0,536
01.10.2024;CEST;03:15;03:30;MW;0,552;0,068;0,572;2,216;3,408;0,044;0,000;0,000;2,380;2,424
01.10.2024;CEST;03:30;03:45;MW;1,308;2,848;0,012;2,996;7,164;0,000;0,000;0,000;3,776;3,776
01.10.2024;CEST;03:45;04:00;MW;2,380;1,284;0,436;4,820;8,920;0,020;0,016;0,004;1,160;1,200
01.10.2024;CEST;04:00;04:15;MW;0,000;0,000;0,000;1,208;1,208;1,896;4,844;19,256;7,724;33,720
01.10.2024;CEST;04:15;04:30;MW;0,000;0,000;0,000;1,984;1,984;0,236;5,076;16,088;7,120;28,520
01.10.2024;CEST;04:30;04:45;MW;10,736;12,144;0,176;12,444;35,500;1,212;3,824;7,476;7,208;19,720
01.10.2024;CEST;04:45;05:00;MW;8,544;4,880;0,004;8,952;22,380;0,412;0,772;4,276;6,096;11,556
01.10.2024;CEST;05:00;05:15;MW;1,080;0,616;0,584;2,584;4,864;0,532;0,808;3,256;2,788;7,384
01.10.2024;CEST;05:15;05:30;MW;9,976;12,696;1,212;22,960;46,844;0,000;1,328;1,940;2,096;5,364
01.10.2024;CEST;05:30;05:45;MW;32,900;20,932;3,160;71,604;128,596;0,000;0,000;0,000;0,000;0,000
01.10.2024;CEST;05:45;06:00;MW;4,936;3,416;0,172;7,332;15,856;0,000;0,000;0,000;1,548;1,548
01.10.2024;CEST;06:00;06:15;MW;12,208;32,248;1,628;91,724;137,808;0,448;0,036;4,776;3,560;8,820
01.10.2024;CEST;06:15;06:30;MW;22,380;42,456;3,144;70,728;138,708;0,000;0,000;0,640;0,000;0,640
01.10.2024;CEST;06:30;06:45;MW;94,896;94,496;5,964;261,176;456,532;0,116;0,000;0,000;0,336;0,452
01.10.2024;CEST;06:45;07:00;MW;145,044;151,844;12,892;364,984;674,764;0,000;0,000;0,000;0,000;0,000
01.10.2024;CEST;07:00;07:15;MW;36,272;119,972;7,288;206,944;370,476;0,000;0,000;0,000;0,000;0,000
01.10.2024;CEST;07:15;07:30;MW;41,172;63,264;3,852;127,660;235,948;0,000;0,000;0,000;0,000;0,000
01.10.2024;CEST;07:30;07:45;MW;3,664;4,356;0,300;7,480;15,800;0,000;0,000;0,136;2,420;2,556
01.10.2024;CEST;07:45;08:00;MW;0,232;1,876;0,000;5,144;7,252;0,984;0,000;5,552;4,776;11,312
01.10.2024;CEST;08:00;08:15;MW;10,160;33,016;0,176;2,032;45,384;1,036;0,016;2,192;0,944;4,188
