Datum;Zeitzone;von;bis;Einheit;50Hertz (Positiv);Amprion (Positiv);TenneT TSO (Positiv);TransnetBW (Positiv);Deutschland (Positiv);50Hertz (Negativ);Amprion (Negativ);TenneT TSO (Negativ);TransnetBW (Negativ);Deutschland (Negativ)
01.02.2024;CET;00:00;00:15;MW;25,568;20,780;9,404;22,496;78,248;0,000;3,928;0,320;0,556;4,804
01.02.2024;CET;00:15;00:30;MW;31,332;26,288;15,144;65,992;138,756;0,000;0,000;0,000;0,000;0,000
01.02.2024;CET;00:30;00:45;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,512;0,092;0,000;0,604
01.02.2024;CET;00:45;01:00;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,132;0,000;0,000;0,132
01.02.2024;CET;01:00;01:15;MW;20,188;0,000;0,076;0,088;20,352;0,000;0,000;0,000;0,000;0,000
01.02.2024;CET;01:15;01:30;MW;29,644;5,388;0,504;4,272;39,808;0,000;0,000;0,000;0,000;0,000
01.02.2024;CET;01:30;01:45;MW;1,108;0,308;0,000;0,000;1,416;0,000;0,000;0,000;0,000;0,000
01.02.2024;CET;01:45;02:00;MW;0,004;0,000;0,000;0,000;0,004;1,648;5,012;0,232;3,112;10,004
01.02.2024;CET;02:00;02:15;MW;0,000;0,000;0,000;0,000;0,000;5,808;32,372;2,952;24,648;65,780
01.02.2024;CET;02:15;02:30;MW;0,000;0,000;0,000;0,000;0,000;7,464;33,608;6,868;71,156;119,096
01.02.2024;CET;02:30;02:45;MW;0,000;0,000;0,000;0,000;0,000;6,968;36,652;8,280;89,416;141,316
01.02.2024;CET;02:45;03:00;MW;0,000;0,000;0,000;0,000;0,000;8,684;34,452;6,180;96,320;145,636
01.02.2024;CET;03:00;03:15;MW;0,000;0,000;0,000;0,000;0,000;8,872;42,844;15,280;212,564;279,560
01.02.2024;CET;03:15;03:30;MW;0,000;0,000;0,000;0,000;0,000;2,544;20,984;4,696;19,472;47,696
01.02.2024;CET;03:30;03:45;MW;0,000;0,000;0,000;0,000;0,000;6,132;32,988;2,584;45,696;87,400
01.02.2024;CET;03:45;04:00;MW;0,000;0,000;0,000;0,000;0,000;2,444;15,268;4,148;26,220;48,080
