Datum;Zeitzone;von;bis;Einheit;50Hertz (Positiv);Amprion (Positiv);TenneT TSO (Positiv);TransnetBW (Positiv);Deutschland (Positiv);50Hertz (Negativ);Amprion (Negativ);TenneT TSO (Negativ);TransnetBW (Negativ);Deutschland (Negativ)
01.07.2024;CEST;00:00;00:15;MW;7,508;15,820;1,400;36,584;61,312;0,096;0,064;0,000;0,000;0,160
01.07.2024;CEST;00:15;00:30;MW;0,032;0,008;0,164;21,040;21,244;0,000;0,000;0,000;0,000;0,000
01.07.2024;CEST;00:30;00:45;MW;3,340;1,028;0,988;38,392;43,748;0,788;0,176;0,724;2,336;4,024
01.07.2024;CEST;00:45;01:00;MW;0,008;0,000;0,000;0,000;0,008;3,488;1,820;5,900;5,836;17,044
01.07.2024;CEST;01:00;01:15;MW;0,032;0,000;0,100;0,788;0,920;0,028;0,004;0,252;0,000;0,284
01.07.2024;CEST;01:15;01:30;MW;0,260;0,000;0,128;3,016;3,404;4,704;0,788;0,184;0,000;5,676
01.07.2024;CEST;01:30;01:45;MW;0,128;0,000;1,028;24,836;25,992;0,000;0,404;0,732;0,000;1,136
01.07.2024;CEST;01:45;02:00;MW;1,084;0,000;1,096;90,748;92,928;0,192;0,208;1,472;0,672;2,544
01.07.2024;CEST;02:00;02:15;MW;0,452;1,036;0,192;1,784;3,464;0,708;0,000;0,672;0,804;2,184
01.07.2024;CEST;02:15;02:30;MW;0,000;0,000;0,024;0,000;0,024;0,056;0,000;0,000;0,000;0,056
01.07.2024;CEST;02:30;02:45;MW;6,668;0,000;0,520;19,180;26,368;0,000;0,000;0,000;0,000;0,000
01.07.2024;CEST;02:45;03:00;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,028;0,000;0,028
01.07.2024;CEST;03:00;03:15;MW;0,268;0,000;0,096;1,036;1,400;0,000;0,000;0,000;0,000;0,000
01.07.2024;CEST;03:15;03:30;MW;0,228;0,000;0,148;0,920;1,296;0,000;0,000;0,000;0,000;0,000
01.07.2024;CEST;03:30;03:45;MW;0,000;0,000;0,076;1,520;1,596;0,000;0,000;0,000;0,000;0,000
01.07.2024;CEST;03:45;04:00;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
01.07.2024;CEST;04:00;04:15;MW;0,000;49,160;2,260;251,232;302,652;0,000;0,000;0,000;0,000;0,000
01.07.2024;CEST;04:15;04:30;MW;0,628;10,084;2,452;113,036;126,200;0,000;0,000;0,000;0,000;0,000
01.07.2024;CEST;04:30;04:45;MW;0,000;0,152;0,180;3,252;3,584;0,000;0,000;0,000;0,000;0,000
01.07.2024;CEST;04:45;05:00;MW;0,000;0,000;0,056;0,676;0,732;0,000;0,000;0,000;0,000;0,000
01.07.2024;CEST;05:00;05:15;MW;0,164;1,696;0,500;6,956;9,316;0,704;0,000;0,020;0,000;0,724
01.07.2024;CEST;05:15;05:30;MW;0,000;0,000;0,000;0,276;0,276;4,216;1,704;3,336;0,496;9,752
01.07.2024;CEST;05:30;05:45;MW;0,000;7,356;1,164;41,212;49,732;0,176;0,032;0,000;0,000;0,208
01.07.2024;CEST;05:45;06:00;MW;2,648;0,848;0,608;6,668;10,772;0,008;0,000;0,000;0,000;0,008
01.07.2024;CEST;06:00;06:15;MW;0,232;8,592;1,072;146,132;156,028;38,260;19,664;34,532;127,176;219,632
01.07.2024;CEST;06:15;06:30;MW;0,012;12,256;1,672;60,128;74,068;1,020;24,448;0,324;0,000;25,792
01.07.2024;CEST;06:30;06:45;MW;2,528;71,132;2,976;142,916;219,552;0,000;0,004;0,000;0,000;0,004
01.07.2024;CEST;06:45;07:00;MW;8,224;2,660;4,684;229,804;245,372;0,000;0,000;0,000;0,000;0,000
01.07.2024;CEST;07:00;07:15;MW;0,624;0,712;0,576;14,560;16,472;3,544;9,148;0,760;1,336;14,788
01.07.2024;CEST;07:15;07:30;MW;0,000;0,000;0,000;0,000;0,000;35,428;69,680;24,140;85,020;214,268
01.07.2024;CEST;07:30;07:45;MW;0,000;0,000;0,000;0,000;0,000;16,004;58,756;20,188;50,272;145,220
01.07.2024;CEST;07:45;08:00;MW;0,000;0,000;0,000;0,000;0,000;10,392;76,188;28,460;67,040;182,080
01.07.2024;CEST;08:00;08:15;MW;0,000;0,000;0,000;0,000;0,000;0,236;14,512;5,088;10,872;30,708
01.07.2024;CEST;08:15;08:30;MW;0,000;0,000;0,000;0,000;0,000;0,016;30,232;4,752;4,400;39,400
01.07.2024;CEST;08:30;08:45;MW;12,436;4,688;0,552;6,928;24,604;0,000;0,988;0,180;0,248;1,416
01.07.2024;CEST;08:45;09:00;MW;0,312;1,776;0,320;0,960;3,368;0,000;0,128;0,000;0,000;0,128
01.07.2024;CEST;09:00;09:15;MW;0,000;0,004;0,040;0,000;0,044;0,344;21,352;9,960;26,596;58,252
01.07.2024;CEST;09:15;09:30;MW;7,384;9,100;0,124;10,836;27,444;0,008;10,448;10,256;19,748;40,460
01.07.2024;CEST;09:30;09:45;MW;0,768;0,188;0,288;0,060;1,304;0,000;9,836;9,060;18,564;37,460
01.07.2024;CEST;09:45;10:00;MW;1,276;0,648;0,100;0,568;2,592;0,336;25,156;14,996;18,768;59,256
01.07.2024;CEST;10:00;10:15;MW;0,000;0,000;0,000;0,000;0,000;0,004;9,664;8,840;6,464;24,972
01.07.2024;CEST;10:15;10:30;MW;0,000;0,000;0,000;0,000;0,000;0,000;14,504;3,756;6,688;24,948
01.07.2024;CEST;10:30;10:45;MW;0,048;0,000;0,060;0,112;0,220;0,076;20,004;3,176;2,476;25,732
01.07.2024;CEST;10:45;11:00;MW;2,404;5,612;0,968;17,144;26,128;0,008;0,884;0,004;0,944;1,840
01.07.2024;CEST;11:00;11:15;MW;12,140;66,848;3,680;181,972;264,640;0,000;0,000;0,000;0,000;0,000
01.07.2024;CEST;11:15;11:30;MW;2,340;21,188;1,880;252,816;278,224;0,000;0,000;0,000;0,000;0,000
01.07.2024;CEST;11:30;11:45;MW;0,000;3,308;1,820;44,708;49,836;0,000;0,000;0,000;0,000;0,000
01.07.2024;CEST;11:45;12:00;MW;0,000;2,548;0,588;11,312;14,448;0,000;0,156;24,204;35,708;60,068
01.07.2024;CEST;12:00;12:15;MW;0,000;0,000;0,000;0,000;0,000;1,696;10,132;41,340;190,028;243,196
01.07.2024;CEST;12:15;12:30;MW;0,000;0,000;0,000;0,032;0,032;0,008;2,820;18,100;18,728;39,656
01.07.2024;CEST;12:30;12:45;MW;0,000;3,704;0,128;0,552;4,384;0,000;4,508;9,720;18,636;32,864
01.07.2024;CEST;12:45;13:00;MW;0,000;6,164;0,112;14,500;20,776;0,000;3,400;8,272;5,572;17,244
01.07.2024;CEST;13:00;13:15;MW;0,000;10,948;1,028;70,892;82,868;0,000;0,000;0,080;0,068;0,148
01.07.2024;CEST;13:15;13:30;MW;0,000;7,624;0,364;9,516;17,504;0,000;0,548;2,096;0,884;3,528
01.07.2024;CEST;13:30;13:45;MW;0,000;2,040;0,112;7,668;9,820;1,324;10,972;12,716;31,240;56,252
01.07.2024;CEST;13:45;14:00;MW;5,904;0,400;0,136;1,460;7,900;2,644;11,336;12,260;42,768;69,008
01.07.2024;CEST;14:00;14:15;MW;3,356;2,612;0,000;0,000;5,968;0,964;14,436;14,816;7,064;37,280
01.07.2024;CEST;14:15;14:30;MW;0,692;110,148;2,396;370,544;483,780;0,000;0,000;0,004;0,000;0,004
01.07.2024;CEST;14:30;14:45;MW;6,964;134,296;3,176;622,972;767,408;0,000;0,000;0,000;0,000;0,000
01.07.2024;CEST;14:45;15:00;MW;10,836;138,960;4,944;432,768;587,508;0,000;0,000;0,000;0,000;0,000
01.07.2024;CEST;15:00;15:15;MW;5,536;11,088;0,216;7,724;24,564;0,000;0,000;0,000;0,000;0,000
01.07.2024;CEST;15:15;15:30;MW;20,528;42,528;0,716;5,444;69,216;0,000;0,000;0,000;0,000;0,000
01.07.2024;CEST;15:30;15:45;MW;0,000;45,696;0,744;70,184;116,624;0,000;0,000;0,000;0,000;0,000
01.07.2024;CEST;15:45;16:00;MW;0,000;62,756;2,288;93,348;158,392;0,772;1,768;4,236;27,716;34,492
01.07.2024;CEST;16:00;16:15;MW;0,192;0,088;0,076;0,044;0,400;3,564;16,944;25,020;113,692;159,220
01.07.2024;CEST;16:15;16:30;MW;0,148;0,000;0,000;0,016;0,164;0,116;1,312;0,144;1,252;2,824
01.07.2024;CEST;16:30;16:45;MW;1,576;10,624;0,316;0,804;13,320;5,888;17,528;7,312;95,484;126,212
01.07.2024;CEST;16:45;17:00;MW;0,000;0,000;0,000;0,000;0,000;0,504;5,500;5,032;17,980;29,016
01.07.2024;CEST;17:00;17:15;MW;0,032;0,036;0,000;0,304;0,372;4,112;22,960;27,984;175,660;230,716
01.07.2024;CEST;17:15;17:30;MW;2,008;22,744;0,948;66,304;92,004;0,824;65,292;12,380;47,480;125,976
01.07.2024;CEST;17:30;17:45;MW;0,000;56,976;1,812;152,676;211,464;0,000;0,000;0,000;0,000;0,000
01.07.2024;CEST;17:45;18:00;MW;0,528;77,556;1,916;165,252;245,252;0,000;0,000;0,000;0,000;0,000
01.07.2024;CEST;18:00;18:15;MW;0,012;0,036;0,180;3,972;4,200;0,000;1,912;0,080;0,988;2,980
01.07.2024;CEST;18:15;18:30;MW;4,232;21,628;0,748;15,868;42,476;0,000;39,096;6,164;29,088;74,348
01.07.2024;CEST;18:30;18:45;MW;0,444;22,372;1,388;131,980;156,184;0,000;18,800;4,296;19,120;42,216
01.07.2024;CEST;18:45;19:00;MW;1,500;0,164;1,520;143,348;146,532;0,004;0,000;0,000;0,000;0,004
01.07.2024;CEST;19:00;19:15;MW;0,000;18,520;0,980;53,488;72,988;0,000;0,000;0,000;0,000;0,000
01.07.2024;CEST;19:15;19:30;MW;0,000;0,000;0,000;0,096;0,096;0,000;0,720;0,000;0,000;0,720
01.07.2024;CEST;19:30;19:45;MW;0,000;0,000;0,000;0,000;0,000;39,624;67,668;14,284;38,936;160,512
01.07.2024;CEST;19:45;20:00;MW;0,000;0,000;0,000;0,000;0,000;56,656;92,176;24,420;98,048;271,300
01.07.2024;CEST;20:00;20:15;MW;0,000;0,000;0,000;0,000;0,000;65,292;110,268;1,216;139,296;316,072
01.07.2024;CEST;20:15;20:30;MW;0,000;0,000;0,000;0,000;0,000;8,072;20,628;0,000;4,648;33,348
01.07.2024;CEST;20:30;20:45;MW;0,000;0,000;0,000;0,000;0,000;0,000;6,544;0,000;0,892;7,436
01.07.2024;CEST;20:45;21:00;MW;0,076;0,000;0,168;1,164;1,408;0,000;6,256;0,000;0,796;7,052
01.07.2024;CEST;21:00;21:15;MW;0,008;0,000;0,196;2,656;2,860;1,068;3,196;0,000;0,444;4,708
01.07.2024;CEST;21:15;21:30;MW;0,000;0,000;0,000;0,000;0,000;0,020;8,800;0,000;0,756;9,576
01.07.2024;CEST;21:30;21:45;MW;0,444;0,940;1,496;68,528;71,408;0,000;0,616;0,000;0,000;0,616
01.07.2024;CEST;21:45;22:00;MW;0,000;0,000;0,832;56,716;57,548;0,000;1,388;0,000;0,000;1,388
01.07.2024;CEST;22:00;22:15;MW;0,000;0,000;1,004;92,492;93,496;0,000;0,272;0,000;0,000;0,272
01.07.2024;CEST;22:15;22:30;MW;0,896;7,212;2,336;196,372;206,816;0,416;0,072;0,000;0,000;0,488
01.07.2024;CEST;22:30;22:45;MW;0,000;0,000;0,296;22,556;22,852;2,128;40,656;0,304;55,992;99,080
01.07.2024;CEST;22:45;23:00;MW;0,000;0,000;0,000;0,000;0,000;0,000;42,080;0,164;16,136;58,380
