Datum;Zeitzone;von;bis;Einheit;50Hertz (Positiv);Amprion (Positiv);TenneT TSO (Positiv);TransnetBW (Positiv);Deutschland (Positiv);50Hertz (Negativ);Amprion (Negativ);TenneT TSO (Negativ);TransnetBW (Negativ);Deutschland (Negativ)
01.04.2024;CEST;00:00;00:15;MW;50,600;51,124;23,980;64,236;189,940;0,000;0,000;0,000;0,000;0,000
01.04.2024;CEST;00:15;00:30;MW;50,076;58,384;25,904;82,928;217,292;0,000;0,000;0,000;0,000;0,000
01.04.2024;CEST;00:30;00:45;MW;117,944;98,012;41,504;234,808;492,268;0,000;0,000;0,000;0,000;0,000
01.04.2024;CEST;00:45;01:00;MW;115,512;99,620;48,964;227,660;491,756;0,000;0,000;0,000;0,000;0,000
01.04.2024;CEST;01:00;01:15;MW;39,704;39,576;21,916;63,052;164,248;0,000;0,000;0,000;0,000;0,000
01.04.2024;CEST;01:15;01:30;MW;45,416;50,888;15,700;65,144;177,148;1,064;0,000;0,000;0,044;1,108
01.04.2024;CEST;01:30;01:45;MW;5,704;2,104;2,052;6,016;15,876;0,448;0,000;0,000;0,000;0,448
01.04.2024;CEST;01:45;01:00;MW;0,128;0,012;0,248;0,776;1,164;4,828;0,000;0,000;0,032;4,860
01.04.2024;CEST;02:00;02:15;MW;0,084;0,020;0,516;0,368;0,988;1,060;0,048;0,000;0,040;1,148
01.04.2024;CEST;02:15;02:30;MW;0,000;0,000;0,000;0,000;0,000;2,240;0,812;0,000;0,228;3,280
01.04.2024;CEST;02:30;02:45;MW;0,000;0,000;0,000;0,000;0,000;1,628;1,384;0,028;0,132;3,172
01.04.2024;CEST;02:45;03:00;MW;0,000;0,000;0,000;0,000;0,000;30,580;14,452;6,964;66,904;118,900
01.04.2024;CEST;03:00;03:15;MW;0,056;0,000;0,360;0,712;1,128;0,376;1,464;0,636;0,000;2,476
01.04.2024;CEST;03:15;03:30;MW;0,000;0,000;0,000;0,000;0,000;1,632;7,564;1,000;0,956;11,152
01.04.2024;CEST;03:30;03:45;MW;0,000;0,000;0,000;0,000;0,000;27,556;19,292;3,564;17,520;67,932
01.04.2024;CEST;03:45;04:00;MW;0,000;0,000;0,000;0,000;0,000;24,884;16,192;4,880;25,356;71,312
01.04.2024;CEST;04:00;04:15;MW;0,000;0,000;0,000;0,000;0,000;19,732;11,756;4,948;46,828;83,264
01.04.2024;CEST;04:15;04:30;MW;0,000;0,000;0,000;0,000;0,000;16,312;8,324;2,448;47,708;74,792
01.04.2024;CEST;04:30;04:45;MW;0,000;0,000;0,000;0,000;0,000;33,248;12,840;6,780;199,712;252,580
01.04.2024;CEST;04:45;05:00;MW;0,000;0,000;0,000;0,000;0,000;31,260;12,716;7,864;117,008;168,848
01.04.2024;CEST;05:00;05:15;MW;4,540;0,620;2,080;2,276;9,516;2,016;1,916;1,044;0,524;5,500
01.04.2024;CEST;05:15;05:30;MW;0,000;0,000;0,000;0,000;0,000;2,992;2,864;0,088;0,064;6,008
01.04.2024;CEST;05:30;05:45;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
01.04.2024;CEST;05:45;06:00;MW;0,000;0,000;0,000;0,000;0,000;0,088;0,052;0,000;0,000;0,140
01.04.2024;CEST;06:00;06:15;MW;22,360;12,464;9,180;21,948;65,952;0,000;0,000;0,000;0,000;0,000
01.04.2024;CEST;06:15;06:30;MW;21,416;26,352;11,652;34,296;93,716;0,064;0,000;0,000;0,000;0,064
01.04.2024;CEST;06:30;06:45;MW;0,024;0,000;0,012;0,028;0,064;4,512;0,564;1,248;0,700;7,024
01.04.2024;CEST;06:45;07:00;MW;0,000;0,000;0,000;0,000;0,000;38,644;11,752;12,344;185,388;248,128
01.04.2024;CEST;07:00;07:15;MW;0,304;0,000;0,000;0,076;0,380;9,332;5,540;1,724;14,624;31,220
01.04.2024;CEST;07:15;07:30;MW;0,000;0,000;0,000;0,000;0,000;35,652;1,384;1,608;63,084;101,728
01.04.2024;CEST;07:30;07:45;MW;0,004;0,000;0,008;0,728;0,740;6,788;2,388;0,820;5,136;15,132
01.04.2024;CEST;07:45;08:00;MW;0,000;0,000;0,000;0,000;0,000;0,240;0,036;0,000;0,000;0,276
01.04.2024;CEST;08:00;08:15;MW;0,460;0,000;0,000;0,008;0,468;0,036;0,060;0,004;0,000;0,100
01.04.2024;CEST;08:15;08:30;MW;2,708;0,000;0,020;0,472;3,200;0,000;0,000;0,000;0,000;0,000
01.04.2024;CEST;08:30;08:45;MW;1,380;0,000;0,064;0,848;2,292;0,000;0,000;0,000;0,000;0,000
01.04.2024;CEST;08:45;09:00;MW;2,220;0,000;0,120;2,804;5,144;0,000;0,000;0,000;0,000;0,000
01.04.2024;CEST;09:00;09:15;MW;39,208;10,268;1,684;253,032;304,192;0,000;0,000;0,000;0,000;0,000
01.04.2024;CEST;09:15;09:30;MW;2,716;44,700;1,456;266,824;315,696;0,000;0,000;0,000;0,000;0,000
01.04.2024;CEST;09:30;09:45;MW;21,460;3,400;0,032;162,260;187,152;0,000;0,000;0,000;0,000;0,000
01.04.2024;CEST;09:45;10:00;MW;5,528;9,568;0,168;243,000;258,264;0,000;0,000;0,000;0,000;0,000
01.04.2024;CEST;10:00;10:15;MW;0,112;61,392;3,324;267,568;332,396;0,000;0,000;0,000;0,000;0,000
01.04.2024;CEST;10:15;10:30;MW;5,232;34,348;2,336;254,360;296,276;0,000;0,000;0,000;0,000;0,000
01.04.2024;CEST;10:30;10:45;MW;37,332;38,096;1,228;357,624;434,280;0,000;0,000;0,000;0,000;0,000
01.04.2024;CEST;10:45;11:00;MW;54,788;72,940;0,928;396,956;525,612;0,000;0,000;0,000;0,000;0,000
01.04.2024;CEST;11:00;11:15;MW;14,604;15,064;1,444;111,448;142,560;4,936;0,000;0,812;5,004;10,752
01.04.2024;CEST;11:15;11:30;MW;3,228;1,780;0,080;88,672;93,760;1,760;0,036;1,248;0,472;3,516
01.04.2024;CEST;11:30;11:45;MW;26,532;29,404;0,332;298,836;355,104;0,000;0,000;0,000;0,000;0,000
01.04.2024;CEST;11:45;12:00;MW;22,744;68,920;11,388;403,176;506,228;0,000;0,000;0,000;0,000;0,000
01.04.2024;CEST;12:00;12:15;MW;2,872;84,068;9,256;621,120;717,316;0,000;0,000;0,000;0,000;0,000
01.04.2024;CEST;12:15;12:30;MW;0,000;49,448;8,700;462,724;520,872;0,000;0,000;0,000;0,000;0,000
01.04.2024;CEST;12:30;12:45;MW;12,928;12,964;0,068;137,060;163,020;0,000;0,000;0,000;0,000;0,000
01.04.2024;CEST;12:45;13:00;MW;9,232;13,728;3,716;312,200;338,876;0,000;0,000;0,000;0,000;0,000
01.04.2024;CEST;13:00;13:15;MW;4,160;37,868;3,024;203,904;248,956;4,724;0,112;0,428;8,508;13,772
01.04.2024;CEST;13:15;13:30;MW;1,028;0,000;0,148;65,832;67,008;1,140;0,016;0,936;0,132;2,224
01.04.2024;CEST;13:30;13:45;MW;0,004;13,528;0,088;126,908;140,528;11,068;3,060;1,500;35,240;50,868
01.04.2024;CEST;13:45;14:00;MW;0,000;3,652;0,060;133,052;136,764;3,208;1,916;3,440;4,528;13,092
