Datum;Zeitzone;von;bis;Einheit;50Hertz (Positiv);Amprion (Positiv);TenneT TSO (Positiv);TransnetBW (Positiv);Deutschland (Positiv);50Hertz (Negativ);Amprion (Negativ);TenneT TSO (Negativ);TransnetBW (Negativ);Deutschland (Negativ)
01.06.2024;CEST;00:00;00:15;MW;1,164;12,120;4,976;66,848;85,108;0,000;0,000;0,000;8,248;8,248
01.06.2024;CEST;00:15;00:30;MW;13,892;23,556;9,948;75,960;123,356;0,000;0,000;0,000;1,744;1,744
01.06.2024;CEST;00:30;00:45;MW;0,000;0,000;15,816;180,868;196,684;0,000;0,000;0,000;0,124;0,124
01.06.2024;CEST;00:45;01:00;MW;0,000;0,000;29,668;155,852;185,520;0,000;0,000;0,000;0,164;0,164
01.06.2024;CEST;01:00;01:15;MW;0,000;0,000;10,620;54,600;65,220;0,000;0,280;0,000;1,532;1,812
01.06.2024;CEST;01:15;01:30;MW;0,000;0,000;0,288;1,448;1,736;0,000;1,348;0,000;2,340;3,688
01.06.2024;CEST;01:30;01:45;MW;0,000;0,000;0,000;3,444;3,444;0,000;0,216;0,000;3,532;3,748
01.06.2024;CEST;01:45;02:00;MW;0,000;0,000;0,000;4,656;4,656;0,000;3,024;0,000;3,100;6,124
01.06.2024;CEST;02:00;02:15;MW;0,000;0,000;0,540;3,356;3,896;0,000;0,560;0,000;4,428;4,988
01.06.2024;CEST;02:15;02:30;MW;0,000;0,000;0,100;2,636;2,736;0,000;2,892;0,148;5,308;8,348
01.06.2024;CEST;02:30;02:45;MW;0,000;0,000;0,000;3,436;3,436;0,000;5,064;0,084;6,748;11,896
01.06.2024;CEST;02:45;03:00;MW;0,000;0,000;0,000;1,968;1,968;0,000;15,540;0,000;24,644;40,184
01.06.2024;CEST;03:00;03:15;MW;0,000;0,000;0,000;3,752;3,752;0,000;3,804;0,000;3,800;7,604
01.06.2024;CEST;03:15;03:30;MW;0,000;0,000;0,000;3,424;3,424;0,000;0,756;0,000;5,356;6,112
01.06.2024;CEST;03:30;03:45;MW;0,000;0,000;33,728;118,852;152,580;0,000;0,000;0,000;0,280;0,280
01.06.2024;CEST;03:45;04:00;MW;0,000;0,000;43,944;195,656;239,600;0,000;0,000;0,000;0,000;0,000
01.06.2024;CEST;04:00;04:15;MW;0,000;0,000;11,528;15,152;26,680;0,000;0,464;0,000;0,536;1,000
01.06.2024;CEST;04:15;04:30;MW;0,000;0,000;10,904;3,368;14,272;0,000;2,216;0,040;1,576;3,832
01.06.2024;CEST;04:30;04:45;MW;4,960;0,000;0,000;2,588;7,548;0,000;0,356;0,000;6,244;6,600
01.06.2024;CEST;04:45;05:00;MW;24,600;13,776;0,424;1,492;40,292;0,156;0,000;0,000;1,756;1,912
01.06.2024;CEST;05:00;05:15;MW;46,144;56,784;39,032;48,932;190,892;0,000;0,000;0,000;0,352;0,352
01.06.2024;CEST;05:15;05:30;MW;9,172;5,220;8,908;3,000;26,300;0,100;0,000;0,016;2,752;2,868
01.06.2024;CEST;05:30;05:45;MW;0,000;0,000;0,000;1,108;1,108;0,036;0,000;0,000;0,960;0,996
01.06.2024;CEST;05:45;06:00;MW;0,000;0,000;0,000;3,360;3,360;0,528;1,376;0,012;3,708;5,624
01.06.2024;CEST;06:00;06:15;MW;0,388;0,116;2,220;5,704;8,428;0,628;13,788;0,260;5,812;20,488
01.06.2024;CEST;06:15;06:30;MW;0,000;0,000;0,000;1,088;1,088;2,764;25,472;1,804;6,428;36,468
01.06.2024;CEST;06:30;06:45;MW;0,040;0,000;0,008;4,164;4,212;0,424;7,052;0,144;4,480;12,100
01.06.2024;CEST;06:45;07:00;MW;3,272;0,000;2,028;5,808;11,108;1,592;4,656;0,020;6,036;12,304
01.06.2024;CEST;07:00;07:15;MW;33,452;0,360;27,160;40,480;101,452;0,000;0,000;0,000;0,724;0,724
01.06.2024;CEST;07:15;07:30;MW;47,972;42,376;29,464;37,796;157,608;0,000;0,000;0,000;0,464;0,464
01.06.2024;CEST;07:30;07:45;MW;89,104;93,548;40,072;89,264;311,988;0,000;0,000;0,000;0,000;0,000
01.06.2024;CEST;07:45;08:00;MW;60,676;84,556;41,072;110,420;296,724;0,000;0,000;0,000;0,000;0,000
01.06.2024;CEST;08:00;08:15;MW;41,140;26,400;0,488;127,364;195,392;0,000;0,000;0,000;0,000;0,000
01.06.2024;CEST;08:15;08:30;MW;53,700;26,572;0,016;95,280;175,568;0,000;0,000;0,000;0,020;0,020
01.06.2024;CEST;08:30;08:45;MW;50,220;23,212;30,052;20,484;123,968;0,000;0,000;0,000;0,948;0,948
01.06.2024;CEST;08:45;09:00;MW;36,108;66,420;32,428;44,316;179,272;0,000;0,000;0,000;0,312;0,312
01.06.2024;CEST;09:00;09:15;MW;72,552;29,620;45,088;164,184;311,444;0,000;0,000;0,000;0,000;0,000
01.06.2024;CEST;09:15;09:30;MW;12,260;29,404;14,924;33,852;90,440;0,000;0,000;0,000;3,776;3,776
01.06.2024;CEST;09:30;09:45;MW;6,044;43,516;17,276;19,852;86,688;0,000;0,000;0,000;3,512;3,512
01.06.2024;CEST;09:45;10:00;MW;0,044;0,288;0,172;6,580;7,084;0,132;0,012;0,016;0,960;1,120
01.06.2024;CEST;10:00;10:15;MW;5,120;21,736;12,148;21,988;60,992;0,000;0,000;0,000;6,460;6,460
01.06.2024;CEST;10:15;10:30;MW;1,560;7,264;6,084;7,764;22,672;1,060;1,216;0,116;0,360;2,752
01.06.2024;CEST;10:30;10:45;MW;0,000;0,000;0,032;4,988;5,020;0,092;2,248;0,016;2,360;4,716
01.06.2024;CEST;10:45;11:00;MW;4,280;2,468;2,336;8,748;17,832;0,000;1,008;0,012;3,316;4,336
01.06.2024;CEST;11:00;11:15;MW;0,492;0,724;0,544;1,468;3,228;0,028;1,932;0,000;2,084;4,044
01.06.2024;CEST;11:15;11:30;MW;10,348;15,608;9,664;13,080;48,700;0,000;0,008;0,000;1,624;1,632
01.06.2024;CEST;11:30;11:45;MW;10,328;27,316;10,052;23,904;71,600;0,000;0,044;0,000;0,552;0,596
01.06.2024;CEST;11:45;12:00;MW;20,580;1,736;0,000;8,944;31,260;0,000;0,000;0,000;2,324;2,324
01.06.2024;CEST;12:00;12:15;MW;3,708;0,040;0,132;4,476;8,356;0,000;0,000;0,000;5,160;5,160
01.06.2024;CEST;12:15;12:30;MW;20,512;7,716;10,204;36,380;74,812;0,000;0,000;0,000;2,212;2,212
01.06.2024;CEST;12:30;12:45;MW;0,000;0,000;0,072;2,012;2,084;0,100;3,296;0,088;3,432;6,916
01.06.2024;CEST;12:45;13:00;MW;0,000;0,000;0,024;4,712;4,736;0,476;2,748;0,192;3,692;7,108
01.06.2024;CEST;13:00;13:15;MW;0,172;0,132;0,160;2,564;3,028;9,040;10,396;0,852;11,084;31,372
01.06.2024;CEST;13:15;13:30;MW;0,020;0,072;0,000;5,540;5,632;18,824;28,544;3,932;31,072;82,372
01.06.2024;CEST;13:30;13:45;MW;0,000;0,000;0,016;1,836;1,852;6,344;13,436;5,320;17,176;42,276
