Datum;Zeitzone;von;bis;Einheit;50Hertz (Positiv);Amprion (Positiv);TenneT TSO (Positiv);TransnetBW (Positiv);Deutschland (Positiv);50Hertz (Negativ);Amprion (Negativ);TenneT TSO (Negativ);TransnetBW (Negativ);Deutschland (Negativ)
01.03.2024;CET;00:00;00:15;MW;12,532;0,000;1,532;8,168;22,232;0,000;0,000;0,676;5,880;6,556
01.03.2024;CET;00:15;00:30;MW;0,000;0,000;0,000;0,000;0,000;0,404;0,000;0,308;25,644;26,356
01.03.2024;CET;00:30;00:45;MW;3,368;0,080;0,004;1,420;4,872;0,800;0,000;0,436;28,500;29,736
01.03.2024;CET;00:45;01:00;MW;17,932;2,284;2,580;10,288;33,084;0,216;0,000;0,052;0,412;0,680
01.03.2024;CET;01:00;01:15;MW;10,624;0,092;4,484;1,296;16,496;0,000;0,000;0,084;1,108;1,192
01.03.2024;CET;01:15;01:30;MW;1,480;0,024;0,128;0,196;1,828;0,164;0,000;1,700;14,668;16,532
01.03.2024;CET;01:30;01:45;MW;0,000;0,000;0,000;0,000;0,000;2,036;0,000;2,340;99,172;103,548
01.03.2024;CET;01:45;02:00;MW;0,000;0,000;0,000;0,000;0,000;4,204;0,668;2,272;357,856;365,000
01.03.2024;CET;02:00;02:15;MW;0,000;0,000;0,000;0,000;0,000;0,212;1,664;3,244;152,352;157,472
01.03.2024;CET;02:15;02:30;MW;0,000;0,000;0,000;0,000;0,000;5,540;24,068;21,184;586,284;637,076
01.03.2024;CET;02:30;02:45;MW;0,000;0,000;0,000;0,000;0,000;0,140;7,596;15,448;435,744;458,928
01.03.2024;CET;02:45;03:00;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,032;1,724;177,588;179,344
01.03.2024;CET;03:00;03:15;MW;37,820;0,756;6,724;38,460;83,760;0,000;0,000;0,280;14,432;14,712
01.03.2024;CET;03:15;03:30;MW;76,724;1,520;17,040;74,132;169,416;0,000;0,000;0,000;0,000;0,000
01.03.2024;CET;03:30;03:45;MW;7,568;0,000;3,820;3,080;14,468;0,000;0,000;0,000;0,000;0,000
01.03.2024;CET;03:45;04:00;MW;1,548;0,000;0,248;0,224;2,020;0,000;0,000;0,000;0,052;0,052
01.03.2024;CET;04:00;04:15;MW;0,304;0,000;0,024;0,084;0,412;0,100;0,000;0,080;2,068;2,248
01.03.2024;CET;04:15;04:30;MW;0,792;0,000;0,096;0,000;0,888;0,000;0,000;0,216;21,124;21,340
01.03.2024;CET;04:30;04:45;MW;0,716;0,000;0,216;0,000;0,932;0,000;0,000;0,124;7,744;7,868
01.03.2024;CET;04:45;05:00;MW;0,032;0,000;0,000;0,000;0,032;0,588;0,000;0,724;17,484;18,796
01.03.2024;CET;05:00;05:15;MW;0,068;0,000;0,000;0,000;0,068;0,000;0,000;0,160;57,064;57,224
01.03.2024;CET;05:15;05:30;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,736;143,052;143,788
01.03.2024;CET;05:30;05:45;MW;0,740;0,000;0,076;0,348;1,164;0,000;0,000;0,020;0,096;0,116
01.03.2024;CET;05:45;06:00;MW;1,068;0,540;0,772;2,048;4,428;0,000;0,000;0,144;8,920;9,064
01.03.2024;CET;06:00;06:15;MW;0,444;0,004;0,040;0,028;0,516;0,000;0,116;5,000;166,096;171,212
01.03.2024;CET;06:15;06:30;MW;0,408;2,204;1,268;6,108;9,988;0,000;0,000;2,032;11,728;13,760
01.03.2024;CET;06:30;06:45;MW;0,800;6,136;2,136;44,428;53,500;0,000;0,000;0,000;0,000;0,000
01.03.2024;CET;06:45;07:00;MW;0,000;0,588;0,680;10,372;11,640;0,000;0,000;0,380;11,860;12,240
01.03.2024;CET;07:00;07:15;MW;0,000;0,000;0,000;0,000;0,000;10,140;0,000;7,608;25,308;43,056
01.03.2024;CET;07:15;07:30;MW;0,432;3,200;1,092;28,364;33,088;5,432;10,756;2,724;9,252;28,164
01.03.2024;CET;07:30;07:45;MW;0,516;12,676;4,024;56,688;73,904;0,000;0,000;0,000;0,000;0,000
01.03.2024;CET;07:45;08:00;MW;71,144;18,776;6,340;241,816;338,076;0,000;0,000;0,000;0,000;0,000
01.03.2024;CET;08:00;08:15;MW;63,732;14,612;5,396;68,420;152,160;0,000;0,000;0,000;0,000;0,000
01.03.2024;CET;08:15;08:30;MW;16,472;3,824;0,328;4,356;24,980;0,000;0,000;0,000;0,000;0,000
01.03.2024;CET;08:30;08:45;MW;18,712;5,716;0,728;35,724;60,880;0,000;0,000;0,000;0,000;0,000
01.03.2024;CET;08:45;09:00;MW;5,212;1,516;1,000;10,736;18,464;3,404;0,000;0,980;10,340;14,724
01.03.2024;CET;09:00;09:15;MW;0,000;0,000;0,000;0,000;0,000;1,092;0,000;0,688;1,620;3,400
01.03.2024;CET;09:15;09:30;MW;2,824;0,368;0,240;0,184;3,616;0,000;0,000;0,580;0,776;1,356
01.03.2024;CET;09:30;09:45;MW;3,840;0,020;0,060;0,216;4,136;0,000;0,000;0,000;0,000;0,000
01.03.2024;CET;09:45;10:00;MW;1,816;0,060;0,164;0,780;2,820;0,000;0,000;0,000;0,000;0,000
01.03.2024;CET;10:00;10:15;MW;96,164;1,244;6,444;561,100;664,952;0,000;0,000;0,000;0,000;0,000
01.03.2024;CET;10:15;10:30;MW;82,488;0,712;7,800;557,652;648,652;0,000;0,000;0,000;0,000;0,000
01.03.2024;CET;10:30;10:45;MW;108,936;1,084;7,724;749,356;867,100;0,000;0,000;0,000;0,000;0,000
01.03.2024;CET;10:45;11:00;MW;81,800;2,472;10,832;676,648;771,752;0,000;0,000;0,000;0,000;0,000
01.03.2024;CET;11:00;11:15;MW;47,764;0,908;11,316;97,228;157,216;0,000;0,000;0,000;0,000;0,000
01.03.2024;CET;11:15;11:30;MW;82,868;1,160;18,156;266,696;368,880;0,000;0,000;0,000;0,000;0,000
01.03.2024;CET;11:30;11:45;MW;140,076;4,828;18,696;438,632;602,232;0,000;0,000;0,000;0,000;0,000
01.03.2024;CET;11:45;12:00;MW;200,872;28,616;17,488;394,128;641,104;0,000;0,000;0,000;0,000;0,000
01.03.2024;CET;12:00;12:15;MW;65,660;4,896;5,472;87,176;163,204;0,000;0,000;0,000;0,000;0,000
01.03.2024;CET;12:15;12:30;MW;150,536;5,296;4,724;117,332;277,888;0,000;0,000;0,000;0,000;0,000
01.03.2024;CET;12:30;12:45;MW;21,644;0,528;2,828;13,848;38,848;0,000;0,000;0,000;0,000;0,000
01.03.2024;CET;12:45;13:00;MW;0,000;0,000;0,000;0,000;0,000;0,004;0,000;0,000;0,000;0,004
