Datum;Zeitzone;von;bis;Einheit;50Hertz (Positiv);Amprion (Positiv);TenneT TSO (Positiv);TransnetBW (Positiv);Deutschland (Positiv);50Hertz (Negativ);Amprion (Negativ);TenneT TSO (Negativ);TransnetBW (Negativ);Deutschland (Negativ)
01.05.2024;CEST;00:00;00:15;MW;140,652;101,664;40,868;682,380;965,564;0,000;0,000;0,000;0,000;0,000
01.05.2024;CEST;00:15;00:30;MW;171,000;91,420;46,628;594,844;903,892;0,000;0,000;0,000;0,000;0,000
01.05.2024;CEST;00:30;00:45;MW;141,176;97,320;42,532;328,068;609,096;0,000;0,000;0,000;0,000;0,000
01.05.2024;CEST;00:45;01:00;MW;173,772;108,584;50,376;723,304;1056,036;0,000;0,000;0,000;0,000;0,000
01.05.2024;CEST;01:00;01:15;MW;161,648;89,644;52,500;581,344;885,136;0,000;0,000;0,000;0,000;0,000
01.05.2024;CEST;01:15;01:30;MW;173,940;94,972;52,552;417,524;738,988;0,000;0,000;0,000;0,000;0,000
01.05.2024;CEST;01:30;01:45;MW;171,960;102,020;52,612;246,492;573,084;0,000;0,000;0,000;0,000;0,000
01.05.2024;CEST;01:45;02:00;MW;185,956;101,536;52,720;285,032;625,244;0,000;0,000;0,000;0,000;0,000
01.05.2024;CEST;02:00;02:15;MW;169,336;98,448;52,624;153,128;473,536;0,000;0,000;0,000;0,036;0,036
01.05.2024;CEST;02:15;02:30;MW;130,736;79,716;50,708;12,212;273,372;0,000;0,000;0,000;0,340;0,340
01.05.2024;CEST;02:30;02:45;MW;165,652;102,132;52,492;349,580;669,856;0,000;0,000;0,000;0,524;0,524
01.05.2024;CEST;02:45;03:00;MW;174,648;1,760;51,816;400,004;628,228;0,000;0,000;0,000;0,000;0,000
01.05.2024;CEST;03:00;03:15;MW;190,264;21,968;55,068;471,612;738,912;0,000;0,000;0,000;0,000;0,000
01.05.2024;CEST;03:15;03:30;MW;132,524;0,144;48,200;75,572;256,440;0,000;0,000;0,000;0,112;0,112
01.05.2024;CEST;03:30;03:45;MW;72,628;0,012;41,696;0,088;114,424;0,000;0,000;0,000;0,584;0,584
01.05.2024;CEST;03:45;04:00;MW;7,540;0,000;15,740;0,024;23,304;0,000;3,576;0,000;9,700;13,276
01.05.2024;CEST;04:00;04:15;MW;0,040;0,000;0,172;0,156;0,368;1,304;3,896;0,000;5,176;10,376
01.05.2024;CEST;04:15;04:30;MW;0,000;0,000;0,000;0,080;0,080;0,744;3,024;0,000;5,696;9,464
01.05.2024;CEST;04:30;04:45;MW;5,596;0,000;25,360;2,320;33,276;0,000;0,000;0,000;2,556;2,556
01.05.2024;CEST;04:45;05:00;MW;17,712;0,000;39,576;0,136;57,424;0,000;0,000;0,000;0,576;0,576
01.05.2024;CEST;05:00;05:15;MW;146,560;0,652;47,484;209,736;404,432;0,000;0,000;0,000;0,300;0,300
01.05.2024;CEST;05:15;05:30;MW;62,432;0,004;46,204;65,308;173,948;0,000;0,000;0,000;0,000;0,000
01.05.2024;CEST;05:30;05:45;MW;17,820;0,000;22,732;24,600;65,152;0,000;1,612;0,000;4,956;6,568
01.05.2024;CEST;05:45;06:00;MW;0,000;0,000;0,000;0,004;0,004;41,356;26,180;0,204;22,900;90,640
01.05.2024;CEST;06:00;06:15;MW;0,136;0,000;0,464;1,384;1,984;2,328;6,236;0,028;7,284;15,876
01.05.2024;CEST;06:15;06:30;MW;10,984;0,000;13,120;20,060;44,164;3,248;9,852;0,008;4,184;17,292
01.05.2024;CEST;06:30;06:45;MW;0,500;0,000;0,428;0,300;1,228;1,108;2,184;0,000;1,048;4,340
