Datum;von;bis;50Hertz (Negativ)
2024-09-08;15:00;15:15;0,0
2024-09-08;15:15;15:30;0,0
2024-09-08;15:30;15:45;0,0
2024-09-08;15:45;16:00;0,0
2024-09-08;16:00;16:15;0,0
2024-09-08;16:15;16:30;0,0
2024-09-08;16:30;16:45;0,0
2024-09-08;16:45;17:00;0,0
2024-09-08;17:00;17:15;0,424
2024-09-08;17:15;17:30;0,052
2024-09-08;17:30;17:45;0,0
2024-09-08;17:45;18:00;23,112
2024-09-08;18:00;18:15;10,44
2024-09-08;18:15;18:30;9,468
2024-09-08;18:30;18:45;19,764
2024-09-08;18:45;19:00;118,524
2024-09-08;19:00;19:15;12,184
2024-09-08;19:15;19:30;1,004
2024-09-08;19:30;19:45;0,276
2024-09-08;19:45;20:00;2,468
2024-09-08;20:00;20:15;6,452
2024-09-08;20:15;20:30;2,184
2024-09-08;20:30;20:45;7,388
2024-09-08;20:45;21:00;19,9
2024-09-08;21:00;21:15;46,284
2024-09-08;21:15;21:30;72,244
2024-09-08;21:30;21:45;49,732
2024-09-08;21:45;22:00;27,728
2024-09-08;22:00;22:15;6,144
2024-09-08;22:15;22:30;18,824
2024-09-08;22:30;22:45;4,836
2024-09-08;22:45;23:00;0,012
2024-09-08;23:00;23:15;0,0
2024-09-08;23:15;23:30;1,228
2024-09-08;23:30;23:45;1,112
2024-09-08;23:45;00:00;0,072
2024-09-09;00:00;00:15;0,0
2024-09-09;00:15;00:30;0,0
2024-09-09;00:30;00:45;0,04
2024-09-09;00:45;01:00;7,484
2024-09-09;01:00;01:15;3,636
2024-09-09;01:15;01:30;0,0
2024-09-09;01:30;01:45;7,536
2024-09-09;01:45;02:00;33,572
2024-09-09;02:00;02:15;3,852
2024-09-09;02:15;02:30;1,124
2024-09-09;02:30;02:45;0,376
2024-09-09;02:45;03:00;0,0
2024-09-09;03:00;03:15;0,0
2024-09-09;03:15;03:30;0,0
2024-09-09;03:30;03:45;0,0
2024-09-09;03:45;04:00;0,0
2024-09-09;04:00;04:15;1,56
2024-09-09;04:15;04:30;0,408
2024-09-09;04:30;04:45;0,0
2024-09-09;04:45;05:00;0,0
2024-09-09;05:00;05:15;0,0
2024-09-09;05:15;05:30;7,72
2024-09-09;05:30;05:45;0,0
2024-09-09;05:45;06:00;16,448
2024-09-09;06:00;06:15;53,144
2024-09-09;06:15;06:30;0,0
2024-09-09;06:30;06:45;0,0
2024-09-09;06:45;07:00;0,0
2024-09-09;07:00;07:15;0,72
2024-09-09;07:15;07:30;0,0
2024-09-09;07:30;07:45;0,0
2024-09-09;07:45;08:00;0,0
2024-09-09;08:00;08:15;0,0
2024-09-09;08:15;08:30;0,0
2024-09-09;08:30;08:45;0,0
2024-09-09;08:45;09:00;0,0
2024-09-09;09:00;09:15;5,244
2024-09-09;09:15;09:30;18,712
2024-09-09;09:30;09:45;20,028
2024-09-09;09:45;10:00;12,292
2024-09-09;10:00;10:15;0,0
2024-09-09;10:15;10:30;0,156
2024-09-09;10:30;10:45;6,724
2024-09-09;10:45;11:00;116,368
2024-09-09;11:00;11:15;219,464
2024-09-09;11:15;11:30;133,924
2024-09-09;11:30;11:45;21,976
2024-09-09;11:45;12:00;51,532
2024-09-09;12:00;12:15;6,968
2024-09-09;12:15;12:30;0,0
2024-09-09;12:30;12:45;34,428
2024-09-09;12:45;13:00;253,764
2024-09-09;13:00;13:15;200,14
2024-09-09;13:15;13:30;100,052
2024-09-09;13:30;13:45;96,12
2024-09-09;13:45;14:00;25,296
2024-09-09;14:00;14:15;0,1
2024-09-09;14:15;14:30;0,0
2024-09-09;14:30;14:45;12,756
2024-09-09;14:45;15:00;58,988
2024-09-09;15:00;15:15;35,644
2024-09-09;15:15;15:30;0,0
2024-09-09;15:30;15:45;0,0
2024-09-09;15:45;16:00;0,088
2024-09-09;16:00;16:15;72,86
2024-09-09;16:15;16:30;132,736
2024-09-09;16:30;16:45;138,928
2024-09-09;16:45;17:00;29,388
2024-09-09;17:00;17:15;12,656
2024-09-09;17:15;17:30;15,464
2024-09-09;17:30;17:45;4,276
2024-09-09;17:45;18:00;14,636
2024-09-09;18:00;18:15;0,0
2024-09-09;18:15;18:30;26,364
2024-09-09;18:30;18:45;82,024
2024-09-09;18:45;19:00;18,632
2024-09-09;19:00;19:15;106,632
2024-09-09;19:15;19:30;5,568
2024-09-09;19:30;19:45;25,412
2024-09-09;19:45;20:00;34,044
2024-09-09;20:00;20:15;0,644
2024-09-09;20:15;20:30;0,0
2024-09-09;20:30;20:45;3,232
2024-09-09;20:45;21:00;42,392
2024-09-09;21:00;21:15;41,14
2024-09-09;21:15;21:30;40,236
2024-09-09;21:30;21:45;12,404
2024-09-09;21:45;22:00;40,184
2024-09-09;22:00;22:15;25,632
2024-09-09;22:15;22:30;28,48
2024-09-09;22:30;22:45;1,864
2024-09-09;22:45;23:00;1,96
2024-09-09;23:00;23:15;3,128
2024-09-09;23:15;23:30;6,912
2024-09-09;23:30;23:45;10,936
2024-09-09;23:45;00:00;89,2
2024-09-10;00:00;00:15;19,62
2024-09-10;00:15;00:30;0,044
2024-09-10;00:30;00:45;0,384
2024-09-10;00:45;01:00;0,0
2024-09-10;01:00;01:15;0,044
2024-09-10;01:15;01:30;0,0
2024-09-10;01:30;01:45;0,0
2024-09-10;01:45;02:00;0,0
2024-09-10;02:00;02:15;0,78
2024-09-10;02:15;02:30;1,092
2024-09-10;02:30;02:45;0,772
2024-09-10;02:45;03:00;1,48
2024-09-10;03:00;03:15;0,0
2024-09-10;03:15;03:30;0,0
2024-09-10;03:30;03:45;0,0
2024-09-10;03:45;04:00;0,6
2024-09-10;04:00;04:15;5,004
2024-09-10;04:15;04:30;7,3
2024-09-10;04:30;04:45;0,332
2024-09-10;04:45;05:00;7,936
2024-09-10;05:00;05:15;19,992
2024-09-10;05:15;05:30;2,264
2024-09-10;05:30;05:45;1,016
2024-09-10;05:45;06:00;0,0
2024-09-10;06:00;06:15;0,0
2024-09-10;06:15;06:30;0,0
2024-09-10;06:30;06:45;0,0
2024-09-10;06:45;07:00;7,396
2024-09-10;07:00;07:15;4,52
2024-09-10;07:15;07:30;0,0
2024-09-10;07:30;07:45;0,368
2024-09-10;07:45;08:00;5,728
2024-09-10;08:00;08:15;6,372
2024-09-10;08:15;08:30;20,936
2024-09-10;08:30;08:45;1,3
2024-09-10;08:45;09:00;0,0
2024-09-10;09:00;09:15;2,676
2024-09-10;09:15;09:30;7,204
2024-09-10;09:30;09:45;42,12
2024-09-10;09:45;10:00;89,1
2024-09-10;10:00;10:15;11,76
2024-09-10;10:15;10:30;0,0
2024-09-10;10:30;10:45;0,0
2024-09-10;10:45;11:00;0,0
2024-09-10;11:00;11:15;2,984
2024-09-10;11:15;11:30;19,268
2024-09-10;11:30;11:45;28,596
2024-09-10;11:45;12:00;43,38
2024-09-10;12:00;12:15;4,852
2024-09-10;12:15;12:30;5,088
2024-09-10;12:30;12:45;0,596
2024-09-10;12:45;13:00;0,0
2024-09-10;13:00;13:15;0,0
2024-09-10;13:15;13:30;6,94
2024-09-10;13:30;13:45;7,864
2024-09-10;13:45;14:00;2,076
2024-09-10;14:00;14:15;10,552
2024-09-10;14:15;14:30;0,672
2024-09-10;14:30;14:45;1,04
2024-09-10;14:45;15:00;0,224
2024-09-10;15:00;15:15;1,024
2024-09-10;15:15;15:30;3,048
2024-09-10;15:30;15:45;0,568
2024-09-10;15:45;16:00;11,124
2024-09-10;16:00;16:15;3,152
2024-09-10;16:15;16:30;2,84
2024-09-10;16:30;16:45;3,776
2024-09-10;16:45;17:00;0,0
2024-09-10;17:00;17:15;0,0
2024-09-10;17:15;17:30;0,712
2024-09-10;17:30;17:45;0,588
2024-09-10;17:45;18:00;0,012
2024-09-10;18:00;18:15;0,0
2024-09-10;18:15;18:30;0,0
2024-09-10;18:30;18:45;0,0
2024-09-10;18:45;19:00;0,0
2024-09-10;19:00;19:15;0,0
2024-09-10;19:15;19:30;0,012
2024-09-10;19:30;19:45;0,0
2024-09-10;19:45;20:00;0,0
2024-09-10;20:00;20:15;0,0
2024-09-10;20:15;20:30;0,32
2024-09-10;20:30;20:45;16,292
2024-09-10;20:45;21:00;73,272
2024-09-10;21:00;21:15;84,74
2024-09-10;21:15;21:30;124,204
2024-09-10;21:30;21:45;65,052
2024-09-10;21:45;22:00;101,032
2024-09-10;22:00;22:15;11,708
2024-09-10;22:15;22:30;16,296
2024-09-10;22:30;22:45;14,864
2024-09-10;22:45;23:00;5,232
2024-09-10;23:00;23:15;16,364
2024-09-10;23:15;23:30;52,62
2024-09-10;23:30;23:45;24,808
2024-09-10;23:45;00:00;11,956
2024-09-11;00:00;00:15;0,156
2024-09-11;00:15;00:30;0,0
2024-09-11;00:30;00:45;0,0
2024-09-11;00:45;01:00;3,408
2024-09-11;01:00;01:15;1,232
2024-09-11;01:15;01:30;0,288
2024-09-11;01:30;01:45;14,736
2024-09-11;01:45;02:00;1,436
2024-09-11;02:00;02:15;0,104
2024-09-11;02:15;02:30;0,404
2024-09-11;02:30;02:45;2,68
2024-09-11;02:45;03:00;1,956
2024-09-11;03:00;03:15;45,784
2024-09-11;03:15;03:30;10,728
2024-09-11;03:30;03:45;3,396
2024-09-11;03:45;04:00;1,424
2024-09-11;04:00;04:15;0,0
2024-09-11;04:15;04:30;23,572
2024-09-11;04:30;04:45;27,228
2024-09-11;04:45;05:00;1,2
2024-09-11;05:00;05:15;14,768
2024-09-11;05:15;05:30;0,0
2024-09-11;05:30;05:45;0,0
2024-09-11;05:45;06:00;0,0
2024-09-11;06:00;06:15;83,688
2024-09-11;06:15;06:30;95,432
2024-09-11;06:30;06:45;28,436
2024-09-11;06:45;07:00;0,0
2024-09-11;07:00;07:15;3,036
2024-09-11;07:15;07:30;0,032
2024-09-11;07:30;07:45;0,0
2024-09-11;07:45;08:00;0,0
2024-09-11;08:00;08:15;19,452
2024-09-11;08:15;08:30;3,02
2024-09-11;08:30;08:45;33,972
2024-09-11;08:45;09:00;64,412
2024-09-11;09:00;09:15;129,544
2024-09-11;09:15;09:30;46,148
2024-09-11;09:30;09:45;0,448
2024-09-11;09:45;10:00;4,016
2024-09-11;10:00;10:15;30,544
2024-09-11;10:15;10:30;5,512
2024-09-11;10:30;10:45;0,0
2024-09-11;10:45;11:00;0,0
2024-09-11;11:00;11:15;33,256
2024-09-11;11:15;11:30;118,452
2024-09-11;11:30;11:45;27,068
2024-09-11;11:45;12:00;27,1
2024-09-11;12:00;12:15;0,764
2024-09-11;12:15;12:30;0,54
2024-09-11;12:30;12:45;0,032
2024-09-11;12:45;13:00;0,0
2024-09-11;13:00;13:15;0,0
2024-09-11;13:15;13:30;0,0
2024-09-11;13:30;13:45;1,252
2024-09-11;13:45;14:00;4,416
2024-09-11;14:00;14:15;4,104
2024-09-11;14:15;14:30;1,596
2024-09-11;14:30;14:45;0,26
2024-09-11;14:45;15:00;0,0
2024-09-11;15:00;15:15;0,944
2024-09-11;15:15;15:30;0,492
2024-09-11;15:30;15:45;0,0
2024-09-11;15:45;16:00;12,548
2024-09-11;16:00;16:15;1,384
2024-09-11;16:15;16:30;0,0
2024-09-11;16:30;16:45;0,0
2024-09-11;16:45;17:00;0,0
2024-09-11;17:00;17:15;3,464
2024-09-11;17:15;17:30;9,668
2024-09-11;17:30;17:45;0,0
2024-09-11;17:45;18:00;13,684
2024-09-11;18:00;18:15;78,68
2024-09-11;18:15;18:30;60,784
2024-09-11;18:30;18:45;30,632
2024-09-11;18:45;19:00;0,0
2024-09-11;19:00;19:15;0,316
2024-09-11;19:15;19:30;1,508
2024-09-11;19:30;19:45;0,0
2024-09-11;19:45;20:00;0,032
2024-09-11;20:00;20:15;0,78
2024-09-11;20:15;20:30;0,724
2024-09-11;20:30;20:45;11,088
2024-09-11;20:45;21:00;16,588
2024-09-11;21:00;21:15;28,56
2024-09-11;21:15;21:30;60,36
2024-09-11;21:30;21:45;100,984
2024-09-11;21:45;22:00;109,364
2024-09-11;22:00;22:15;73,968
2024-09-11;22:15;22:30;104,632
2024-09-11;22:30;22:45;19,804
2024-09-11;22:45;23:00;103,82
2024-09-11;23:00;23:15;5,192
2024-09-11;23:15;23:30;12,42
2024-09-11;23:30;23:45;41,304
2024-09-11;23:45;00:00;61,752
2024-09-12;00:00;00:15;143,012
2024-09-12;00:15;00:30;147,472
2024-09-12;00:30;00:45;117,184
2024-09-12;00:45;01:00;121,676
2024-09-12;01:00;01:15;56,156
2024-09-12;01:15;01:30;0,0
2024-09-12;01:30;01:45;0,0
2024-09-12;01:45;02:00;21,216
2024-09-12;02:00;02:15;54,428
2024-09-12;02:15;02:30;128,764
2024-09-12;02:30;02:45;53,58
2024-09-12;02:45;03:00;111,748
2024-09-12;03:00;03:15;102,688
2024-09-12;03:15;03:30;0,0
2024-09-12;03:30;03:45;0,148
2024-09-12;03:45;04:00;0,0
2024-09-12;04:00;04:15;58,028
2024-09-12;04:15;04:30;108,128
2024-09-12;04:30;04:45;67,764
2024-09-12;04:45;05:00;15,088
2024-09-12;05:00;05:15;39,248
2024-09-12;05:15;05:30;67,352
2024-09-12;05:30;05:45;10,66
2024-09-12;05:45;06:00;22,908
2024-09-12;06:00;06:15;124,1
2024-09-12;06:15;06:30;76,728
2024-09-12;06:30;06:45;32,196
2024-09-12;06:45;07:00;11,1
2024-09-12;07:00;07:15;28,264
2024-09-12;07:15;07:30;0,0
2024-09-12;07:30;07:45;0,0
2024-09-12;07:45;08:00;0,0
2024-09-12;08:00;08:15;0,0
2024-09-12;08:15;08:30;0,0
2024-09-12;08:30;08:45;0,156
2024-09-12;08:45;09:00;27,524
2024-09-12;09:00;09:15;15,636
2024-09-12;09:15;09:30;44,152
2024-09-12;09:30;09:45;116,972
2024-09-12;09:45;10:00;82,676
2024-09-12;10:00;10:15;32,048
2024-09-12;10:15;10:30;77,392
2024-09-12;10:30;10:45;116,228
2024-09-12;10:45;11:00;73,096
2024-09-12;11:00;11:15;65,308
2024-09-12;11:15;11:30;19,42
2024-09-12;11:30;11:45;33,596
2024-09-12;11:45;12:00;140,568
2024-09-12;12:00;12:15;61,812
2024-09-12;12:15;12:30;32,26
2024-09-12;12:30;12:45;1,728
2024-09-12;12:45;13:00;9,816
2024-09-12;13:00;13:15;9,14
2024-09-12;13:15;13:30;42,38
2024-09-12;13:30;13:45;60,592
2024-09-12;13:45;14:00;49,56
2024-09-12;14:00;14:15;89,368
2024-09-12;14:15;14:30;187,82
2024-09-12;14:30;14:45;226,34
2024-09-12;14:45;15:00;161,18
2024-09-12;15:00;15:15;138,528
2024-09-12;15:15;15:30;11,256
2024-09-12;15:30;15:45;25,388
2024-09-12;15:45;16:00;31,672
2024-09-12;16:00;16:15;46,56
2024-09-12;16:15;16:30;99,484
2024-09-12;16:30;16:45;92,916
2024-09-12;16:45;17:00;28,84
2024-09-12;17:00;17:15;22,888
2024-09-12;17:15;17:30;0,0
2024-09-12;17:30;17:45;29,604
2024-09-12;17:45;18:00;90,156
2024-09-12;18:00;18:15;131,404
2024-09-12;18:15;18:30;130,404
2024-09-12;18:30;18:45;14,872
2024-09-12;18:45;19:00;3,632
2024-09-12;19:00;19:15;40,572
2024-09-12;19:15;19:30;0,0
2024-09-12;19:30;19:45;0,0
2024-09-12;19:45;20:00;0,104
2024-09-12;20:00;20:15;0,0
2024-09-12;20:15;20:30;0,528
2024-09-12;20:30;20:45;0,432
2024-09-12;20:45;21:00;71,12
2024-09-12;21:00;21:15;16,556
2024-09-12;21:15;21:30;35,32
2024-09-12;21:30;21:45;109,716
2024-09-12;21:45;22:00;292,316
2024-09-12;22:00;22:15;38,556
2024-09-12;22:15;22:30;18,628
2024-09-12;22:30;22:45;81,564
2024-09-12;22:45;23:00;23,684
2024-09-12;23:00;23:15;4,028
2024-09-12;23:15;23:30;115,32
2024-09-12;23:30;23:45;130,896
2024-09-12;23:45;00:00;160,144
2024-09-13;00:00;00:15;4,696
2024-09-13;00:15;00:30;0,0
2024-09-13;00:30;00:45;0,044
2024-09-13;00:45;01:00;12,124
2024-09-13;01:00;01:15;0,232
2024-09-13;01:15;01:30;0,28
2024-09-13;01:30;01:45;32,344
2024-09-13;01:45;02:00;62,444
2024-09-13;02:00;02:15;2,684
2024-09-13;02:15;02:30;0,1
2024-09-13;02:30;02:45;0,012
2024-09-13;02:45;03:00;37,732
2024-09-13;03:00;03:15;77,916
2024-09-13;03:15;03:30;28,824
2024-09-13;03:30;03:45;1,116
2024-09-13;03:45;04:00;5,424
2024-09-13;04:00;04:15;22,94
2024-09-13;04:15;04:30;15,032
2024-09-13;04:30;04:45;3,784
2024-09-13;04:45;05:00;23,324
2024-09-13;05:00;05:15;31,592
2024-09-13;05:15;05:30;27,132
2024-09-13;05:30;05:45;6,28
2024-09-13;05:45;06:00;11,048
2024-09-13;06:00;06:15;23,428
2024-09-13;06:15;06:30;0,156
2024-09-13;06:30;06:45;0,0
2024-09-13;06:45;07:00;0,0
2024-09-13;07:00;07:15;3,304
2024-09-13;07:15;07:30;8,472
2024-09-13;07:30;07:45;0,0
2024-09-13;07:45;08:00;0,0
2024-09-13;08:00;08:15;0,0
2024-09-13;08:15;08:30;1,3
2024-09-13;08:30;08:45;22,808
2024-09-13;08:45;09:00;41,624
2024-09-13;09:00;09:15;29,32
2024-09-13;09:15;09:30;30,608
2024-09-13;09:30;09:45;13,524
2024-09-13;09:45;10:00;2,844
2024-09-13;10:00;10:15;0,228
2024-09-13;10:15;10:30;53,244
2024-09-13;10:30;10:45;12,024
2024-09-13;10:45;11:00;7,34
2024-09-13;11:00;11:15;18,02
2024-09-13;11:15;11:30;39,56
2024-09-13;11:30;11:45;17,22
2024-09-13;11:45;12:00;0,436
2024-09-13;12:00;12:15;0,0
2024-09-13;12:15;12:30;0,0
2024-09-13;12:30;12:45;0,0
2024-09-13;12:45;13:00;0,0
2024-09-13;13:00;13:15;0,0
2024-09-13;13:15;13:30;7,088
2024-09-13;13:30;13:45;77,568
2024-09-13;13:45;14:00;120,12
2024-09-13;14:00;14:15;59,22
2024-09-13;14:15;14:30;104,552
2024-09-13;14:30;14:45;31,652
2024-09-13;14:45;15:00;105,604
2024-09-13;15:00;15:15;61,688
2024-09-13;15:15;15:30;81,92
2024-09-13;15:30;15:45;65,7
2024-09-13;15:45;16:00;22,78
2024-09-13;16:00;16:15;7,404
2024-09-13;16:15;16:30;51,048
2024-09-13;16:30;16:45;76,108
2024-09-13;16:45;17:00;14,8
2024-09-13;17:00;17:15;0,636
2024-09-13;17:15;17:30;44,172
2024-09-13;17:30;17:45;21,004
2024-09-13;17:45;18:00;0,0
2024-09-13;18:00;18:15;0,0
2024-09-13;18:15;18:30;0,0
2024-09-13;18:30;18:45;0,0
2024-09-13;18:45;19:00;0,0
2024-09-13;19:00;19:15;11,26
2024-09-13;19:15;19:30;0,028
2024-09-13;19:30;19:45;0,056
2024-09-13;19:45;20:00;0,0
2024-09-13;20:00;20:15;0,0
2024-09-13;20:15;20:30;0,0
2024-09-13;20:30;20:45;15,384
2024-09-13;20:45;21:00;13,24
2024-09-13;21:00;21:15;2,124
2024-09-13;21:15;21:30;60,596
2024-09-13;21:30;21:45;18,292
2024-09-13;21:45;22:00;16,756
2024-09-13;22:00;22:15;16,948
2024-09-13;22:15;22:30;7,436
2024-09-13;22:30;22:45;2,628
2024-09-13;22:45;23:00;3,996
2024-09-13;23:00;23:15;6,068
2024-09-13;23:15;23:30;0,816
2024-09-13;23:30;23:45;8,26
2024-09-13;23:45;00:00;7,144
2024-09-14;00:00;00:15;0,108
2024-09-14;00:15;00:30;0,108
2024-09-14;00:30;00:45;0,032
2024-09-14;00:45;01:00;0,42
2024-09-14;01:00;01:15;0,0
2024-09-14;01:15;01:30;0,0
2024-09-14;01:30;01:45;0,0
2024-09-14;01:45;02:00;0,0
2024-09-14;02:00;02:15;0,0
2024-09-14;02:15;02:30;0,0
2024-09-14;02:30;02:45;0,0
2024-09-14;02:45;03:00;0,0
2024-09-14;03:00;03:15;0,0
2024-09-14;03:15;03:30;1,404
2024-09-14;03:30;03:45;0,0
2024-09-14;03:45;04:00;0,068
2024-09-14;04:00;04:15;0,0
2024-09-14;04:15;04:30;0,0
2024-09-14;04:30;04:45;0,0
2024-09-14;04:45;05:00;0,0
2024-09-14;05:00;05:15;0,388
2024-09-14;05:15;05:30;0,0
2024-09-14;05:30;05:45;0,0
2024-09-14;05:45;06:00;0,024
2024-09-14;06:00;06:15;0,128
2024-09-14;06:15;06:30;0,0
2024-09-14;06:30;06:45;0,0
2024-09-14;06:45;07:00;0,0
2024-09-14;07:00;07:15;11,72
2024-09-14;07:15;07:30;0,0
2024-09-14;07:30;07:45;0,012
2024-09-14;07:45;08:00;1,564
2024-09-14;08:00;08:15;31,776
2024-09-14;08:15;08:30;1,28
2024-09-14;08:30;08:45;0,0
2024-09-14;08:45;09:00;5,652
2024-09-14;09:00;09:15;0,672
2024-09-14;09:15;09:30;0,016
2024-09-14;09:30;09:45;0,144
2024-09-14;09:45;10:00;0,0
2024-09-14;10:00;10:15;0,0
2024-09-14;10:15;10:30;2,436
2024-09-14;10:30;10:45;6,024
2024-09-14;10:45;11:00;1,044
2024-09-14;11:00;11:15;0,836
2024-09-14;11:15;11:30;0,024
2024-09-14;11:30;11:45;4,68
2024-09-14;11:45;12:00;0,284
2024-09-14;12:00;12:15;0,0
2024-09-14;12:15;12:30;0,66
2024-09-14;12:30;12:45;2,204
2024-09-14;12:45;13:00;0,208
2024-09-14;13:00;13:15;0,244
2024-09-14;13:15;13:30;0,74
2024-09-14;13:30;13:45;0,924
2024-09-14;13:45;14:00;3,348
2024-09-14;14:00;14:15;7,104
2024-09-14;14:15;14:30;2,724
2024-09-14;14:30;14:45;9,66
2024-09-14;14:45;15:00;1,98
2024-09-14;15:00;15:15;2,376
2024-09-14;15:15;15:30;6,556
2024-09-14;15:30;15:45;5,324
2024-09-14;15:45;16:00;8,904
2024-09-14;16:00;16:15;18,0
2024-09-14;16:15;16:30;22,356
2024-09-14;16:30;16:45;7,764
2024-09-14;16:45;17:00;9,26
2024-09-14;17:00;17:15;7,576
2024-09-14;17:15;17:30;15,444
2024-09-14;17:30;17:45;11,96
2024-09-14;17:45;18:00;5,516
2024-09-14;18:00;18:15;0,508
2024-09-14;18:15;18:30;0,84
2024-09-14;18:30;18:45;0,0
2024-09-14;18:45;19:00;0,0
2024-09-14;19:00;19:15;0,0
2024-09-14;19:15;19:30;0,0
2024-09-14;19:30;19:45;0,0
2024-09-14;19:45;20:00;0,0
2024-09-14;20:00;20:15;0,04
2024-09-14;20:15;20:30;9,432
2024-09-14;20:30;20:45;18,728
2024-09-14;20:45;21:00;102,028
2024-09-14;21:00;21:15;18,312
2024-09-14;21:15;21:30;35,264
2024-09-14;21:30;21:45;16,48
2024-09-14;21:45;22:00;9,276
2024-09-14;22:00;22:15;24,752
2024-09-14;22:15;22:30;11,924
2024-09-14;22:30;22:45;11,916
2024-09-14;22:45;23:00;20,504
2024-09-14;23:00;23:15;4,52
2024-09-14;23:15;23:30;1,568
2024-09-14;23:30;23:45;0,0
2024-09-14;23:45;00:00;0,128
2024-09-15;00:00;00:15;0,028
2024-09-15;00:15;00:30;8,092
2024-09-15;00:30;00:45;3,156
2024-09-15;00:45;01:00;0,248
2024-09-15;01:00;01:15;15,984
2024-09-15;01:15;01:30;9,18
2024-09-15;01:30;01:45;0,028
2024-09-15;01:45;02:00;0,044
2024-09-15;02:00;02:15;0,096
2024-09-15;02:15;02:30;1,328
2024-09-15;02:30;02:45;0,08
2024-09-15;02:45;03:00;5,456
2024-09-15;03:00;03:15;0,228
2024-09-15;03:15;03:30;1,516
2024-09-15;03:30;03:45;0,0
2024-09-15;03:45;04:00;0,0
2024-09-15;04:00;04:15;0,0
2024-09-15;04:15;04:30;0,0
2024-09-15;04:30;04:45;0,0
2024-09-15;04:45;05:00;0,0
2024-09-15;05:00;05:15;0,032
2024-09-15;05:15;05:30;0,26
2024-09-15;05:30;05:45;0,04
2024-09-15;05:45;06:00;1,08
2024-09-15;06:00;06:15;0,0
2024-09-15;06:15;06:30;0,0
2024-09-15;06:30;06:45;0,0
2024-09-15;06:45;07:00;0,0
2024-09-15;07:00;07:15;0,0
2024-09-15;07:15;07:30;2,712
2024-09-15;07:30;07:45;0,0
2024-09-15;07:45;08:00;0,0
2024-09-15;08:00;08:15;0,0
2024-09-15;08:15;08:30;0,0
2024-09-15;08:30;08:45;0,0
2024-09-15;08:45;09:00;0,0
2024-09-15;09:00;09:15;0,0
2024-09-15;09:15;09:30;0,0
2024-09-15;09:30;09:45;0,0
2024-09-15;09:45;10:00;0,0
2024-09-15;10:00;10:15;0,0
2024-09-15;10:15;10:30;0,0
2024-09-15;10:30;10:45;1,628
2024-09-15;10:45;11:00;5,584
2024-09-15;11:00;11:15;0,008
2024-09-15;11:15;11:30;0,044
2024-09-15;11:30;11:45;3,608
2024-09-15;11:45;12:00;0,132
2024-09-15;12:00;12:15;0,052
2024-09-15;12:15;12:30;0,016
2024-09-15;12:30;12:45;0,0
2024-09-15;12:45;13:00;0,0
2024-09-15;13:00;13:15;0,0
2024-09-15;13:15;13:30;0,0
2024-09-15;13:30;13:45;0,0
2024-09-15;13:45;14:00;0,0
2024-09-15;14:00;14:15;0,0
2024-09-15;14:15;14:30;0,0
2024-09-15;14:30;14:45;0,32
2024-09-15;14:45;15:00;0,0
2024-09-15;15:00;15:15;0,0
2024-09-15;15:15;15:30;0,0
2024-09-15;15:30;15:45;4,828
2024-09-15;15:45;16:00;9,476
2024-09-15;16:00;16:15;59,632
2024-09-15;16:15;16:30;55,14
2024-09-15;16:30;16:45;48,38
2024-09-15;16:45;17:00;16,604
2024-09-15;17:00;17:15;0,312
2024-09-15;17:15;17:30;0,288
2024-09-15;17:30;17:45;3,124
2024-09-15;17:45;18:00;1,244
2024-09-15;18:00;18:15;0,0
2024-09-15;18:15;18:30;0,0
2024-09-15;18:30;18:45;0,0
2024-09-15;18:45;19:00;0,0
2024-09-15;19:00;19:15;6,912
2024-09-15;19:15;19:30;0,0
2024-09-15;19:30;19:45;0,0
2024-09-15;19:45;20:00;0,012
2024-09-15;20:00;20:15;0,104
2024-09-15;20:15;20:30;17,328
2024-09-15;20:30;20:45;44,316
2024-09-15;20:45;21:00;27,584
2024-09-15;21:00;21:15;14,216
2024-09-15;21:15;21:30;9,628
2024-09-15;21:30;21:45;11,484
2024-09-15;21:45;22:00;30,584
2024-09-15;22:00;22:15;5,388
2024-09-15;22:15;22:30;0,436
2024-09-15;22:30;22:45;13,608
2024-09-15;22:45;23:00;0,108
2024-09-15;23:00;23:15;0,0
2024-09-15;23:15;23:30;0,88
2024-09-15;23:30;23:45;1,728
2024-09-15;23:45;00:00;0,02
2024-09-16;00:00;00:15;0,0
2024-09-16;00:15;00:30;0,056
2024-09-16;00:30;00:45;2,044
2024-09-16;00:45;01:00;28,344
2024-09-16;01:00;01:15;1,8
2024-09-16;01:15;01:30;3,744
2024-09-16;01:30;01:45;0,276
2024-09-16;01:45;02:00;0,232
2024-09-16;02:00;02:15;1,212
2024-09-16;02:15;02:30;6,968
2024-09-16;02:30;02:45;10,336
2024-09-16;02:45;03:00;16,556
2024-09-16;03:00;03:15;3,996
2024-09-16;03:15;03:30;11,564
2024-09-16;03:30;03:45;18,3
2024-09-16;03:45;04:00;1,156
2024-09-16;04:00;04:15;3,78
2024-09-16;04:15;04:30;0,224
2024-09-16;04:30;04:45;3,972
2024-09-16;04:45;05:00;1,6
2024-09-16;05:00;05:15;0,124
2024-09-16;05:15;05:30;1,84
2024-09-16;05:30;05:45;1,08
2024-09-16;05:45;06:00;0,016
2024-09-16;06:00;06:15;48,516
2024-09-16;06:15;06:30;0,904
2024-09-16;06:30;06:45;0,0
